,Tamb,HR,mv,Tv,qc,Tc_in,Tc_out,Tcond,Qc_released,Qc_absorbed,Qc_transfered,Ce_c,Rp,Rs,wdc,qdc,Tdc_in,Tdc_out,Ce_dc,Qdc,wwct,qwct,qwct_s,qwct_p,Twct_in,Twct_out,Ce_wct,Cw_wct,Qwct,Tcc_out,Cw_s1,Cw_s2,Pw,Pw_s1,Pw_s2,Pe,Vavail,deltaV,qdc_only,Tcc_in,Ce_cc,Cw_cc,Qcc,Ce,Cw,qcc,Vavail_s1,Je,Jw,J,Je_c,Je_dc,Je_wct,Jw_wct,Jw_s1,Jw_s2
2022-01-03 00:00:00+00:00,9.06,73.0,148.8870826829679,35.0,8.875144558400372,24.146482416892393,33.8535175831076,35.0,100.00000000000001,100.03259664697624,93.58389442376874,0.4437809986191588,0.0,0.0,39.46265872106558,8.875144558400372,33.8535175831076,24.621156075028658,0.5337274872570378,95.13930533987086,0.0,0.0,0.0,0.0,24.621156075028658,24.621156075028658,0.0,0.0,0.0,24.621156075028658,0.0,0,2.90538951e-05,2.90538951e-05,0.000581077902,0.16072,18.923209631357548,-1.0767903686424538,8.875144558400372,33.8535175831076,0.5337274872570378,0.0,95.13930533987086,0.9775084858761967,0.0,8.875144558400372,18.923209631357548,0.15710516385002232,0.0,0.15710516385002232,0.07132448209807121,0.08578068175195111,0.0,0.0,0.0,0.0
2022-01-03 01:00:00+00:00,9.06,79.0,148.8870826829679,35.0,8.579880601372487,23.979455756071083,34.02054424392892,35.0,100.00000000000001,100.03259664697633,89.1282624676856,0.4155355832921038,0.0,0.0,40.13055288566954,8.579880601372487,34.02054424392892,24.470859771172137,0.559405814503655,95.13530949142337,0.0,0.0,0.0,0.0,24.470859771172137,24.470859771172137,0.0,0.0,0.0,24.470859771172137,0.0,0,2.90538951e-05,2.90538951e-05,0.000581077902,0.15464,18.97310226083901,-1.026897739160991,8.579880601372487,34.02054424392892,0.559405814503655,0.0,95.13530949142337,0.9749413977957588,0.0,8.579880601372487,18.97310226083901,0.15076493775513614,0.0,0.15076493775513614,0.06425842260029094,0.08650651515484521,0.0,0.0,0.0,0.0
2022-01-03 02:00:00+00:00,9.06,82.0,148.8870826829679,35.0,8.779635227137803,24.093683387474762,33.90631661252524,35.0,100.00000000000001,100.03259664697627,92.20877094192382,0.4344613511067053,0.0,0.0,39.60650328793621,8.779635227137803,33.90631661252524,24.5837952004401,0.5391694639095526,95.0345125438942,0.0,0.0,0.0,0.0,24.5837952004401,24.5837952004401,0.0,0.0,0.0,24.5837952004401,0.0,0,2.90538951e-05,2.90538951e-05,0.000581077902,0.14986000000000002,19.023403546316874,-0.9765964536831246,8.779635227137803,33.90631661252524,0.5391694639095526,0.0,95.0345125438942,0.9736308150162578,0.0,8.779635227137803,19.023403546316874,0.14590831393833642,0.0,0.14590831393833642,0.06510837807685087,0.08079993586148555,0.0,0.0,0.0,0.0
2022-01-03 03:00:00+00:00,9.06,84.0,148.8870826829679,35.0,9.019154356503005,24.223979049015885,33.77602095098412,35.0,100.00000000000001,100.03259664697634,95.55392131890191,0.4581664494658531,0.0,0.0,38.99578644752508,9.019154356503005,33.77602095098412,24.71771352404513,0.5163959183638205,94.86025912859338,0.0,0.0,0.0,0.0,24.71771352404513,24.71771352404513,0.0,0.0,0.0,24.71771352404513,0.0,0,2.90538951e-05,2.90538951e-05,0.000581077902,0.14449,19.048784190776416,-0.951215809223583,9.019154356503005,33.77602095098412,0.5163959183638205,0.0,94.86025912859338,0.9745623678296735,0.0,9.019154356503005,19.048784190776416,0.14081451652770954,0.0,0.14081451652770954,0.06620047028332111,0.07461404624438843,0.0,0.0,0.0,0.0
2022-01-03 04:00:00+00:00,9.06,87.0,148.8870826829679,35.0,8.671846153216492,24.032698988687578,33.96730101131242,35.0,100.00000000000001,100.03259664697633,90.58333892829293,0.42415403834412313,0.0,0.0,39.873753600805514,8.671846153216492,33.96730101131242,24.525189204554145,0.5494087151592406,95.07189584668382,0.0,0.0,0.0,0.0,24.525189204554145,24.525189204554145,0.0,0.0,0.0,24.525189204554145,0.0,0,2.90538951e-05,2.90538951e-05,0.000581077902,0.14886000000000002,19.058709152597356,-0.941290847402644,8.671846153216492,33.96730101131242,0.5494087151592406,0.0,95.07189584668382,0.9735627535033637,0.0,8.671846153216492,19.058709152597356,0.14492455148651073,0.0,0.14492455148651073,0.06313957014790618,0.08178498133860457,0.0,0.0,0.0,0.0
2022-01-03 05:00:00+00:00,9.06,87.0,148.8870826829679,35.0,9.073778905918646,24.252730905894058,33.747269094105945,35.0,100.00000000000001,100.03259664697636,96.27146781564294,0.46372829506262897,0.0,0.0,38.86701012953523,9.073778905918646,33.747269094105945,24.7467460102741,0.5117039821154439,94.82598651444393,0.0,0.0,0.0,0.0,24.7467460102741,24.7467460102741,0.0,0.0,0.0,24.7467460102741,0.0,0,2.90538951e-05,2.90538951e-05,0.000581077902,0.15377000000000002,19.078308487981115,-0.921691512018884,9.073778905918646,33.747269094105945,0.5117039821154439,0.0,94.82598651444393,0.9754322771780728,0.0,9.073778905918646,19.078308487981115,0.14999222126167228,0.0,0.14999222126167228,0.07130749993178047,0.07868472132989181,0.0,0.0,0.0,0.0
2022-01-03 06:00:00+00:00,9.06,84.0,148.8870826829679,35.0,8.976888303410412,24.20149201918296,33.798507980817035,35.0,100.00000000000001,100.03259664697624,94.9878453817837,0.45390273666282915,0.0,0.0,39.08110248306428,8.976888303410412,33.798507980817035,24.6975758967562,0.5195254179220332,94.85999294565937,0.0,0.0,0.0,0.0,24.6975758967562,24.6975758967562,0.0,0.0,0.0,24.6975758967562,0.0,0,2.90538951e-05,2.90538951e-05,0.000581077902,0.16072,18.944315587572348,-1.0556844124276528,8.976888303410412,33.798507980817035,0.5195254179220332,0.0,94.85999294565937,0.9734281545848624,0.0,8.976888303410412,18.944315587572348,0.1564493730048791,0.0,0.1564493730048791,0.0729512478364499,0.08349812516842918,0.0,0.0,0.0,0.0
2022-01-03 07:00:00+00:00,9.06,85.0,148.8870826829679,35.0,8.794523759118185,24.10198944858645,33.89801055141355,35.0,100.00000000000001,100.03259664697633,92.42699471148242,0.4359025943777331,0.0,0.0,39.51821558375977,8.794523759118185,33.89801055141355,24.600107967378527,0.535823610243249,94.94425225773152,0.0,0.0,0.0,0.0,24.600107967378527,24.600107967378527,0.0,0.0,0.0,24.600107967378527,0.0,0,2.90538951e-05,2.90538951e-05,0.000581077902,0.18925999999999998,18.939469857961935,-1.0605301420380657,8.794523759118185,33.89801055141355,0.535823610243249,0.0,94.94425225773152,0.971726204620982,0.0,8.794523759118185,18.939469857961935,0.18390890148656705,0.0,0.18390890148656705,0.08249892501192976,0.1014099764746373,0.0,0.0,0.0,0.0
2022-01-03 08:00:00+00:00,9.06,86.0,74.44354134148395,35.0,5.433754930110314,25.072577670347105,33.0,35.0,50.00000000000001,50.01616015661291,99.3946990939102,0.21317468648389198,0.0,0.0,22.96466837456651,5.433754930110314,33.0,25.570489567758806,0.16993775777867892,46.87382980424252,0.0,0.0,0.0,0.0,25.570489567758806,25.570489567758806,0.0,0.0,0.0,25.570489567758806,0.0,0,2.90538951e-05,2.90538951e-05,0.000581077902,0.18354,19.051974389548047,-0.9480256104519531,5.433754930110314,33.0,0.16993775777867892,0.0,46.87382980424252,0.3831124442625709,0.0,5.433754930110314,19.051974389548047,0.07031645801995227,0.0,0.07031645801995227,0.03912608195725353,0.03119037606269873,0.0,0.0,0.0,0.0
2022-01-03 09:00:00+00:00,9.06,77.0,74.44354134148395,35.0,5.887949060524156,25.68409598588081,33.0,35.0,50.00000000000001,50.01501654011636,97.11978772563523,0.23178753739688668,0.0,0.0,21.254870456141095,5.887949060524156,33.0,26.14818020406502,0.15168137238184942,46.84152493707255,0.0,0.0,0.0,0.0,26.14818020406502,26.14818020406502,0.0,0.0,0.0,26.14818020406502,0.0,0,2.90538951e-05,2.90538951e-05,0.000581077902,0.16072,18.986372011417565,-1.0136279885824369,5.887949060524156,33.0,0.15168137238184942,0.0,46.84152493707255,0.3834689097787361,0.0,5.887949060524156,18.986372011417565,0.06163112317963847,0.0,0.06163112317963847,0.037252893010427626,0.02437823016921084,0.0,0.0,0.0,0.0
