,Tamb,HR,Twct_in,qwct,wwct,Twb,mw_ma_ratio
0,3.0,99.9,26.25,6.0,62.01219137329383,2.9933841732537307,0.5000000019158122
1,3.0,99.9,26.25,6.0,22.03960381739572,2.9933841732537307,1.6250000011165187
2,3.0,99.9,26.25,10.5,33.39384985470683,2.9933841732537307,1.6250000026034814
3,3.0,99.9,26.25,10.5,22.528275072677854,2.9933841732537307,2.7500000006087215
4,3.0,99.9,26.25,15.0,46.3813185118584,2.9933841732537307,1.6250000020334276
5,3.0,99.9,26.25,15.0,29.108535934332153,2.9933841732537307,2.750000019889814
6,3.0,99.9,26.25,15.0,22.733900042566447,2.9933841732537307,3.875000008632877
7,3.0,99.9,26.25,19.5,62.012191373293845,2.9933841732537307,1.6250000062263896
8,3.0,99.9,26.25,19.5,36.17769198724932,2.9933841732537307,2.750000002990129
9,3.0,99.9,26.25,19.5,27.367718492495456,2.9933841732537307,3.8750000032272394
10,3.0,99.9,26.25,19.5,22.847171081144175,2.9933841732537307,5.000000013179199
11,3.0,99.9,26.25,24.0,83.1850629423364,2.9933841732537307,1.6250000043537238
12,3.0,99.9,26.25,24.0,43.86422118387453,2.9933841732537307,2.7500000148506842
13,3.0,99.9,26.25,24.0,32.233965406562454,2.9933841732537307,3.8750000143834136
14,3.0,99.9,26.25,24.0,26.42343855293005,2.9933841732537307,5.0000000006811645
15,8.222222222222221,38.305131160662164,26.25,6.0,62.01219137329383,3.000280285539546,0.5000000019158122
16,8.222222222222221,38.305131160662164,26.25,6.0,22.03960381739572,3.000280285539546,1.6250000011165187
17,8.222222222222221,38.305131160662164,26.25,10.5,33.39384985470683,3.000280285539546,1.6250000026034814
18,8.222222222222221,38.305131160662164,26.25,10.5,22.528275072677854,3.000280285539546,2.7500000006087215
19,8.222222222222221,38.305131160662164,26.25,15.0,46.3813185118584,3.000280285539546,1.6250000020334276
20,8.222222222222221,38.305131160662164,26.25,15.0,29.108535934332153,3.000280285539546,2.750000019889814
21,8.222222222222221,38.305131160662164,26.25,15.0,22.733900042566447,3.000280285539546,3.875000008632877
22,8.222222222222221,38.305131160662164,26.25,19.5,62.012191373293845,3.000280285539546,1.6250000062263896
23,8.222222222222221,38.305131160662164,26.25,19.5,36.17769198724932,3.000280285539546,2.750000002990129
24,8.222222222222221,38.305131160662164,26.25,19.5,27.367718492495456,3.000280285539546,3.8750000032272394
25,8.222222222222221,38.305131160662164,26.25,19.5,22.847171081144175,3.000280285539546,5.000000013179199
26,8.222222222222221,38.305131160662164,26.25,24.0,83.1850629423364,3.000280285539546,1.6250000043537238
27,8.222222222222221,38.305131160662164,26.25,24.0,43.86422118387453,3.000280285539546,2.7500000148506842
28,8.222222222222221,38.305131160662164,26.25,24.0,32.233965406562454,3.000280285539546,3.8750000143834136
29,8.222222222222221,38.305131160662164,26.25,24.0,26.42343855293005,3.000280285539546,5.0000000006811645
30,13.444444444444445,4.976598708205848,26.25,6.0,62.01219137329383,3.0001441942880476,0.5000000019158122
31,13.444444444444445,4.976598708205848,26.25,6.0,22.03960381739572,3.0001441942880476,1.6250000011165187
32,13.444444444444445,4.976598708205848,26.25,10.5,33.39384985470683,3.0001441942880476,1.6250000026034814
33,13.444444444444445,4.976598708205848,26.25,10.5,22.528275072677854,3.0001441942880476,2.7500000006087215
34,13.444444444444445,4.976598708205848,26.25,15.0,46.3813185118584,3.0001441942880476,1.6250000020334276
35,13.444444444444445,4.976598708205848,26.25,15.0,29.108535934332153,3.0001441942880476,2.750000019889814
36,13.444444444444445,4.976598708205848,26.25,15.0,22.733900042566447,3.0001441942880476,3.875000008632877
37,13.444444444444445,4.976598708205848,26.25,19.5,62.012191373293845,3.0001441942880476,1.6250000062263896
38,13.444444444444445,4.976598708205848,26.25,19.5,36.17769198724932,3.0001441942880476,2.750000002990129
39,13.444444444444445,4.976598708205848,26.25,19.5,27.367718492495456,3.0001441942880476,3.8750000032272394
40,13.444444444444445,4.976598708205848,26.25,19.5,22.847171081144175,3.0001441942880476,5.000000013179199
41,13.444444444444445,4.976598708205848,26.25,24.0,83.1850629423364,3.0001441942880476,1.6250000043537238
42,13.444444444444445,4.976598708205848,26.25,24.0,43.86422118387453,3.0001441942880476,2.7500000148506842
43,13.444444444444445,4.976598708205848,26.25,24.0,32.233965406562454,3.0001441942880476,3.8750000143834136
44,13.444444444444445,4.976598708205848,26.25,24.0,26.42343855293005,3.0001441942880476,5.0000000006811645
45,3.0,99.9,33.0,6.0,62.01219137329383,2.9933841732537307,0.5000000019158122
46,3.0,99.9,33.0,6.0,22.03960381739572,2.9933841732537307,1.6250000011165187
47,3.0,99.9,33.0,10.5,33.39384985470683,2.9933841732537307,1.6250000026034814
48,3.0,99.9,33.0,10.5,22.528275072677854,2.9933841732537307,2.7500000006087215
49,3.0,99.9,33.0,15.0,46.3813185118584,2.9933841732537307,1.6250000020334276
50,3.0,99.9,33.0,15.0,29.108535934332153,2.9933841732537307,2.750000019889814
51,3.0,99.9,33.0,15.0,22.733900042566447,2.9933841732537307,3.875000008632877
52,3.0,99.9,33.0,19.5,62.012191373293845,2.9933841732537307,1.6250000062263896
53,3.0,99.9,33.0,19.5,36.17769198724932,2.9933841732537307,2.750000002990129
54,3.0,99.9,33.0,19.5,27.367718492495456,2.9933841732537307,3.8750000032272394
55,3.0,99.9,33.0,19.5,22.847171081144175,2.9933841732537307,5.000000013179199
56,3.0,99.9,33.0,24.0,83.1850629423364,2.9933841732537307,1.6250000043537238
57,3.0,99.9,33.0,24.0,43.86422118387453,2.9933841732537307,2.7500000148506842
58,3.0,99.9,33.0,24.0,32.233965406562454,2.9933841732537307,3.8750000143834136
59,3.0,99.9,33.0,24.0,26.42343855293005,2.9933841732537307,5.0000000006811645
60,8.222222222222221,38.305131160662164,33.0,6.0,62.01219137329383,3.000280285539546,0.5000000019158122
61,8.222222222222221,38.305131160662164,33.0,6.0,22.03960381739572,3.000280285539546,1.6250000011165187
62,8.222222222222221,38.305131160662164,33.0,10.5,33.39384985470683,3.000280285539546,1.6250000026034814
63,8.222222222222221,38.305131160662164,33.0,10.5,22.528275072677854,3.000280285539546,2.7500000006087215
64,8.222222222222221,38.305131160662164,33.0,15.0,46.3813185118584,3.000280285539546,1.6250000020334276
65,8.222222222222221,38.305131160662164,33.0,15.0,29.108535934332153,3.000280285539546,2.750000019889814
66,8.222222222222221,38.305131160662164,33.0,15.0,22.733900042566447,3.000280285539546,3.875000008632877
67,8.222222222222221,38.305131160662164,33.0,19.5,62.012191373293845,3.000280285539546,1.6250000062263896
68,8.222222222222221,38.305131160662164,33.0,19.5,36.17769198724932,3.000280285539546,2.750000002990129
69,8.222222222222221,38.305131160662164,33.0,19.5,27.367718492495456,3.000280285539546,3.8750000032272394
70,8.222222222222221,38.305131160662164,33.0,19.5,22.847171081144175,3.000280285539546,5.000000013179199
71,8.222222222222221,38.305131160662164,33.0,24.0,83.1850629423364,3.000280285539546,1.6250000043537238
72,8.222222222222221,38.305131160662164,33.0,24.0,43.86422118387453,3.000280285539546,2.7500000148506842
73,8.222222222222221,38.305131160662164,33.0,24.0,32.233965406562454,3.000280285539546,3.8750000143834136
74,8.222222222222221,38.305131160662164,33.0,24.0,26.42343855293005,3.000280285539546,5.0000000006811645
75,13.444444444444445,4.976598708205848,33.0,6.0,62.01219137329383,3.0001441942880476,0.5000000019158122
76,13.444444444444445,4.976598708205848,33.0,6.0,22.03960381739572,3.0001441942880476,1.6250000011165187
77,13.444444444444445,4.976598708205848,33.0,10.5,33.39384985470683,3.0001441942880476,1.6250000026034814
78,13.444444444444445,4.976598708205848,33.0,10.5,22.528275072677854,3.0001441942880476,2.7500000006087215
79,13.444444444444445,4.976598708205848,33.0,15.0,46.3813185118584,3.0001441942880476,1.6250000020334276
80,13.444444444444445,4.976598708205848,33.0,15.0,29.108535934332153,3.0001441942880476,2.750000019889814
81,13.444444444444445,4.976598708205848,33.0,15.0,22.733900042566447,3.0001441942880476,3.875000008632877
