,Tamb,HR,mv,qc,Rp,Rs,wdc,wwct,Ce,Cw,Tv,Qc_released,Qc_absorbed,Qc_transfered,Tc_in,Tc_out,Tcond,Ce_c,qcc,Tcc_in,Tcc_out,Ce_cc,Cw_cc,qwct_p,qwct_s,Qcc,qdc,Tdc_in,Tdc_out,Ce_dc,Qdc,qwct,Twct_in,Twct_out,Ce_wct,Cw_wct,Qwct
2022-06-15 00:00:00+00:00,20.5,49.0,148.8870826829679,6.829138033783524,1.0,0.0,0.0,37.9225762053458,0.6254008009886663,112.53751198036377,35.0,100.00000000000001,100.03259664697626,(32.42663596292492+27.61428124476405j),22.692370844794166,35.30762915520583,35.0,0.28140877890286004,6.829138033783524,35.30762915520583,23.176003344149514,0.3439920220858063,112.53751198036377,6.829138033783524,0.0,96.19588435047474,0.0,35.30762915520583,35.30762915520583,0.0,0.0,6.829138033783524,35.30762915520583,23.176003344149514,0.3439920220858063,112.53751198036377,96.19588435047474
2022-06-15 01:00:00+00:00,19.7,48.0,148.8870826829679,6.806930007740038,1.0,0.0,0.0,37.15480016348759,0.6091770299539211,111.81291165712071,35.0,100.00000000000001,100.03259664697627,(32.57890155654961+28.22661832651994j),22.67179181836196,35.32820818163804,35.0,0.28006209949786215,6.806930007740038,35.32820818163804,23.145800699139592,0.32911493045605894,111.81291165712071,6.806930007740038,0.0,96.28445056108778,0.0,35.32820818163804,35.32820818163804,0.0,0.0,6.806930007740038,35.32820818163804,23.145800699139592,0.32911493045605894,111.81291165712071,96.28445056108778
2022-06-15 02:00:00+00:00,19.2,49.0,148.8870826829679,5.449272727751508,1.0,0.0,0.0,42.32452913932972,0.6524140516108758,120.25359452210148,35.0,100.00000000000001,100.0325966469763,(34.32226133477814+54.24320151898478j),21.09515245081301,36.90484754918699,35.0,0.21375469508333397,5.449272727751508,36.90484754918699,21.427373843662146,0.43865935652754184,120.25359452210148,5.449272727751508,0.0,97.92930404517624,0.0,36.90484754918699,36.90484754918699,0.0,0.0,5.449272727751508,36.90484754918699,21.427373843662146,0.43865935652754184,120.25359452210148,97.92930404517624
2022-06-15 03:00:00+00:00,18.7,48.0,148.8870826829679,6.33399179410654,1.0,0.0,0.0,37.569168839590695,0.5905000165056824,113.13795748769087,35.0,100.00000000000001,100.03259664697626,(34.20134980222553+38.76491072490937j),22.199285447938575,35.80071455206142,35.0,0.25341622511737755,6.33399179410654,35.80071455206142,22.673739905093363,0.3370837913883049,113.13795748769087,6.33399179410654,0.0,96.54146508615511,0.0,35.80071455206142,35.80071455206142,0.0,0.0,6.33399179410654,35.80071455206142,22.673739905093363,0.3370837913883049,113.13795748769087,96.54146508615511
2022-06-15 04:00:00+00:00,18.4,49.0,148.8870826829679,6.675829497595437,1.0,0.0,0.0,36.0497772781838,0.58084299597819,111.75515435283785,35.0,100.00000000000001,100.03259664697632,(33.27867972846163+31.5385686304799j),22.547517925325472,35.45248207467453,35.0,0.27228772903244963,6.675829497595437,35.45248207467453,23.039918716654803,0.3085552669457403,111.75515435283785,6.675829497595437,0.0,96.2139771074251,0.0,35.45248207467453,35.45248207467453,0.0,0.0,6.675829497595437,35.45248207467453,23.039918716654803,0.3085552669457403,111.75515435283785,96.2139771074251
2022-06-15 05:00:00+00:00,18.3,47.0,74.44354134148395,5.521309321106896,1.0,0.0,0.0,22.57151112336539,0.3552244604465531,51.801424401083636,35.0,50.00000000000001,50.015922070185795,(78.6334283935059+0j),25.19828709792656,33.0,35.0,0.21649867030347864,5.521309321106896,33.0,25.642558278430307,0.13872579014307448,51.801424401083636,5.521309321106896,0.0,47.16696666936568,0.0,33.0,33.0,0.0,0.0,5.521309321106896,33.0,25.642558278430307,0.13872579014307448,51.801424401083636,47.16696666936568
2022-06-15 06:00:00+00:00,18.8,48.0,74.44354134148395,5.2211,1.0,0.0,0.0,23.631724062806,0.35228314687489853,52.85981906551649,35.0,50.00000000000001,50.01629832348811,(77.04330733744926+0j),24.874847238434622,33.125152761565374,35.0,0.20562008077770694,5.2211,33.125152761565374,25.36785669908827,0.1466630660971916,52.85981906551649,5.2211,0.0,47.02662603351705,0.0,33.125152761565374,33.125152761565374,0.0,0.0,5.2211,33.125152761565374,25.36785669908827,0.1466630660971916,52.85981906551649,47.02662603351705
2022-06-15 07:00:00+00:00,19.7,45.0,74.44354134148395,5.538517695057442,1.0,0.0,0.0,23.450950074741588,0.3624109514995911,52.09643569469233,35.0,50.00000000000001,50.015876339409836,(78.59331712321703+0j),25.22252730089522,33.0,35.0,0.21716671629788534,5.538517695057442,33.0,25.67281617771264,0.1452442352017058,52.09643569469233,5.538517695057442,0.0,47.11933893987758,0.0,33.0,33.0,0.0,0.0,5.538517695057442,33.0,25.67281617771264,0.1452442352017058,52.09643569469233,47.11933893987758
2022-06-15 08:00:00+00:00,20.9,43.0,74.44354134148395,5.770674517529476,1.0,0.0,0.0,23.460906660432094,0.37197693586950087,52.44141755762291,35.0,50.00000000000001,50.0152912202693,(78.07772091520094+0j),25.535418513733916,33.0,35.0,0.22665525533139616,5.770674517529476,33.0,26.003974102614713,0.14532168053810468,52.44141755762291,5.770674517529476,0.0,46.87500137984352,0.0,33.0,33.0,0.0,0.0,5.770674517529476,33.0,26.003974102614713,0.14532168053810468,52.44141755762291,46.87500137984352
2022-06-15 09:00:00+00:00,22.2,37.0,74.44354134148395,5.6337005985575885,1.0,0.0,0.0,24.82229077516071,0.37762928853703703,49.80020967937787,35.0,50.00000000000001,50.01562944360788,(78.3762470230516+0j),25.35392981695783,33.0,35.0,0.22094955214368595,5.6337005985575885,33.0,25.797643621618455,0.15667973639335106,49.80020967937787,5.6337005985575885,0.0,47.1123680932874,0.0,33.0,33.0,0.0,0.0,5.6337005985575885,33.0,25.797643621618455,0.15667973639335106,49.80020967937787,47.1123680932874
