,Tamb,HR,mv,Tv,qc,Tc_in,Tc_out,Tcond,Qc_released,Qc_absorbed,Qc_transfered,Ce_c,Rp,Rs,wdc,qdc,Tdc_in,Tdc_out,Ce_dc,Qdc,wwct,qwct,qwct_s,qwct_p,Twct_in,Twct_out,Ce_wct,Cw_wct,Qwct,Tcc_out,Cw_s1,Cw_s2,Pw,Pw_s1,Pw_s2,Pe,Vavail,deltaV,qdc_only,Tcc_in,Ce_cc,Cw_cc,Qcc,Ce,Cw,qcc,Vavail_s1,Je,Jw,J,Je_c,Je_dc,Je_wct,Jw_wct,Jw_s1,Jw_s2
2022-06-15 00:00:00+00:00,20.5,49.0,148.8870826829679,35.0,13.38367500279314,26.399462682097987,32.836509626065265,35.0,100.00000000000001,100.02803599576868,100.00001237498452,1.097470583054471,0.0,0.0,52.73897488999285,13.38367500279314,32.836509626065265,26.898722899922824,1.2531745678023336,92.26819333641292,0.0,0.0,0.0,0.0,26.898722899922824,26.898722899922824,0.0,0.0,0.0,26.898722899922824,0,0,0.0290538951,0.0290538951,0.581077902,0.17767,19.03529507258292,-0.9647049274170825,13.38367500279314,32.836509626065265,1.2531745678023336,0.0,92.26819333641292,2.3506451508568045,0.0,13.38367500279314,19.03529507258292,0.41763912395272845,0.0,0.41763912395272845,0.19498759849128788,0.2226515254614406,0.0,0.0,0.0,0.0
2022-06-15 01:00:00+00:00,19.7,48.0,148.8870826829679,35.0,13.120362347451648,26.269856372831644,32.83608845459267,35.0,100.00000000000001,100.02850218346508,100.00001212904841,1.0470731222153349,0.0,0.0,49.44763962430548,13.120362347451648,32.83608845459267,26.765035857558097,1.032733574749429,92.48342346571387,0.0,0.0,0.0,0.0,26.765035857558097,26.765035857558097,0.0,0.0,0.0,26.765035857558097,0,0,0.0290538951,0.0290538951,0.581077902,0.17302,19.050935927283245,-0.9490640727167543,13.120362347451648,32.83608845459267,1.032733574749429,0.0,92.48342346571387,2.0798066969647637,0.0,13.120362347451648,19.050935927283245,0.35984815470884346,0.0,0.35984815470884346,0.18116459160569726,0.17868356310314623,0.0,0.0,0.0,0.0
2022-06-15 02:00:00+00:00,19.2,49.0,148.8870826829679,35.0,12.697150793783587,26.051159149256474,32.836251758795555,35.0,100.00000000000001,100.02929306801234,100.00001175395823,0.9694098123802294,0.0,0.0,48.524878361093776,12.697150793783587,32.836251758795555,26.547253684112285,0.9759585612248546,92.71396241696627,0.0,0.0,0.0,0.0,26.547253684112285,26.547253684112285,0.0,0.0,0.0,26.547253684112285,0,0,0.0290538951,0.0290538951,0.581077902,0.17318,19.049400766624675,-0.9505992333753253,12.697150793783587,32.836251758795555,0.9759585612248546,0.0,92.71396241696627,1.945368373605084,0.0,12.697150793783587,19.049400766624675,0.33689889494092845,0.0,0.33689889494092845,0.16788239130800814,0.1690165036329203,0.0,0.0,0.0,0.0
2022-06-15 03:00:00+00:00,18.7,48.0,148.8870826829679,35.0,13.163185585833245,26.291260266051925,32.83613070223438,35.0,100.00000000000001,100.02842506721237,100.00001216798543,1.0551602604330212,0.0,0.0,45.43034051470032,13.163185585833245,32.83613070223438,26.78265481438276,0.8016407842959247,92.51659185870125,0.0,0.0,0.0,0.0,26.78265481438276,26.78265481438276,0.0,0.0,0.0,26.78265481438276,0,0,0.0290538951,0.0290538951,0.581077902,0.18003,18.910716076867715,-1.0892839231322857,13.163185585833245,32.83613070223438,0.8016407842959247,0.0,92.51659185870125,1.8568010447289458,0.0,13.163185585833245,18.910716076867715,0.3342798920825521,0.0,0.3342798920825521,0.18996050168575682,0.1443193903967953,0.0,0.0,0.0,0.0
2022-06-15 04:00:00+00:00,18.4,49.0,148.8870826829679,35.0,12.248039611539332,25.8037823195183,32.8376707367076,35.0,100.00000000000001,100.03019441144387,100.0000109954209,0.8914302266296695,0.0,0.0,46.970865056280445,12.248039611539332,32.8376707367076,26.289259569153465,0.8853309304559019,93.12448904913073,0.0,0.0,0.0,0.0,26.289259569153465,26.289259569153465,0.0,0.0,0.0,26.289259569153465,0,0,0.0290538951,0.0290538951,0.581077902,0.17556,18.933060656409936,-1.0669393435900636,12.248039611539332,32.8376707367076,0.8853309304559019,0.0,93.12448904913073,1.7767611570855715,0.0,12.248039611539332,18.933060656409936,0.3119281887379429,0.0,0.3119281887379429,0.15649949058710477,0.15542869815083815,0.0,0.0,0.0,0.0
2022-06-15 05:00:00+00:00,18.3,47.0,74.44354134148395,35.0,5.8035511835926386,25.577704787269166,33.0,35.0,50.00000000000001,50.01521287755242,78.0084281569783,0.22807096616469605,0.0,0.0,27.818758852451307,5.8035511835926386,33.0,26.03114561409867,0.2340620601891743,46.95891869095664,0.0,0.0,0.0,0.0,26.03114561409867,26.03114561409867,0.0,0.0,0.0,26.03114561409867,0,0,0.0290538951,0.0290538951,0.581077902,0.17891,19.017553440350852,-0.9824465596491474,5.8035511835926386,33.0,0.2340620601891743,0.0,46.95891869095664,0.4621330263538703,0.0,5.8035511835926386,19.017553440350852,0.08268021974497095,0.0,0.08268021974497095,0.040804176556525774,0.04187604318844518,0.0,0.0,0.0,0.0
2022-06-15 06:00:00+00:00,18.8,48.0,74.44354134148395,35.0,6.410123264833885,26.280055876127637,33.0,35.0,50.00000000000001,50.01393703145707,76.8802617025922,0.25744517053628635,0.0,0.0,25.525231598917117,6.410123264833885,33.0,26.75897626367233,0.20089839551259048,46.44873570110989,0.0,0.0,0.0,0.0,26.75897626367233,26.75897626367233,0.0,0.0,0.0,26.75897626367233,0,0,0.0290538951,0.0290538951,0.581077902,0.17891,18.984484249663204,-1.015515750336795,6.410123264833885,33.0,0.20089839551259048,0.0,46.44873570110989,0.4583435660488768,0.0,6.410123264833885,18.984484249663204,0.08200224740180456,0.0,0.08200224740180456,0.046059515460646995,0.03594273194115757,0.0,0.0,0.0,0.0
2022-06-15 07:00:00+00:00,19.7,45.0,74.44354134148395,35.0,7.407082095980937,27.18452912919775,33.0,35.0,50.00000000000001,50.012363763247635,75.5446844485632,0.3195202007908286,0.0,0.0,23.374115302339895,7.407082095980937,33.0,27.670759174248552,0.1745503019790731,45.83009697912256,0.0,0.0,0.0,0.0,27.670759174248552,27.670759174248552,0.0,0.0,0.0,27.670759174248552,0,0,0.0290538951,0.0290538951,0.581077902,0.16556,19.093785874031276,-0.9062141259687226,7.407082095980937,33.0,0.1745503019790731,0.0,45.83009697912256,0.4940705027699017,0.0,7.407082095980937,19.093785874031276,0.08179831243858493,0.0,0.08179831243858493,0.05289976444292959,0.028898547995655343,0.0,0.0,0.0,0.0
2022-06-15 08:00:00+00:00,20.9,43.0,74.44354134148395,35.0,6.23072323628802,26.08656980365565,33.0,35.0,50.00000000000001,50.01428374573991,77.18574769445136,0.24810928763509787,0.0,0.0,29.97732427192714,6.23072323628802,33.0,26.544910584021373,0.27143032215911866,46.69771740637792,0.0,0.0,0.0,0.0,26.544910584021373,26.544910584021373,0.0,0.0,0.0,26.544910584021373,0,0,0.0290538951,0.0290538951,0.581077902,0.15485,18.945463479099367,-1.0545365209006334,6.23072323628802,33.0,0.27143032215911866,0.0,46.69771740637792,0.5195396097942165,0.0,6.23072323628802,18.945463479099367,0.08045070857663443,0.0,0.08045070857663443,0.0384197231902949,0.04203098538633952,0.0,0.0,0.0,0.0
2022-06-15 09:00:00+00:00,22.2,37.0,74.44354134148395,35.0,6.538732701523993,26.412229535429965,33.0,35.0,50.00000000000001,50.013702254078346,76.6746690726957,0.2644772279159436,0.0,0.0,31.08567395090537,6.538732701523993,33.0,26.90198537508123,0.2933357321337822,46.29473253467991,0.0,0.0,0.0,0.0,26.90198537508123,26.90198537508123,0.0,0.0,0.0,26.90198537508123,0,0,0.0290538951,0.0290538951,0.581077902,0.15321,19.01073438927833,-0.9892656107216699,6.538732701523993,33.0,0.2933357321337822,0.0,46.29473253467991,0.5578129600497258,0.0,6.538732701523993,19.01073438927833,0.0854625236092185,0.0,0.0854625236092185,0.04052055608900172,0.04494196752021678,0.0,0.0,0.0,0.0
