,Tamb,HR,mv,Tv,qc,Tc_in,Tc_out,Tcond,Qc_released,Qc_absorbed,Qc_transfered,Ce_c,Rp,Rs,wdc,qdc,Tdc_in,Tdc_out,Ce_dc,Qdc,wwct,qwct,qwct_s,qwct_p,Twct_in,Twct_out,Ce_wct,Cw_wct,Qwct,Tcc_out,Cw_s1,Cw_s2,Pw,Pw_s1,Pw_s2,Pe,Vavail,deltaV,qdc_only,Tcc_in,Ce_cc,Cw_cc,Qcc,Ce,Cw,qcc,Vavail_s1,Je,Jw,J,Je_c,Je_dc,Je_wct,Jw_wct,Jw_s1,Jw_s2
2022-06-15 00:00:00+00:00,20.5,49.0,148.8870826829679,35.0,5.2211,24.874847238434622,33.125152761565374,35.0,50.00000000000001,50.01629832348811,77.04330733744926,0.20562008077770694,1.0,0.0,0.0,0.0,33.125152761565374,33.125152761565374,0.0,0.0,24.92694391720481,5.2211,0.0,5.2211,33.125152761565374,25.355403748114306,0.15761604030605347,55.30859501493876,47.102140675425126,25.355403748114306,0,0,0.0290538951,0.0290538951,0.581077902,0.17767,19.03529507258292,-0.9647049274170825,0.0,33.125152761565374,0.15761604030605347,55.30859501493876,47.102140675425126,0.3632361210837604,55.30859501493876,5.2211,19.03529507258292,0.06453616163295171,0.0,0.06453616163295171,0.03653251975177519,0.0,0.02800364188117652,0.0,0.0,0.0
2022-06-15 01:00:00+00:00,19.7,48.0,148.8870826829679,35.0,5.2211,24.874847238434622,33.125152761565374,35.0,50.00000000000001,50.01629832348811,77.04330733744926,0.20562008077770694,1.0,0.0,0.0,0.0,33.125152761565374,33.125152761565374,0.0,0.0,24.274422307454927,5.2211,0.0,5.2211,33.125152761565374,25.369630809372985,0.15192531934089215,53.826224620423886,47.01586784312017,25.369630809372985,0,0,0.0290538951,0.0290538951,0.581077902,0.17302,19.050935927283245,-0.9490640727167543,0.0,33.125152761565374,0.15192531934089215,53.826224620423886,47.01586784312017,0.3575454001185991,53.826224620423886,5.2211,19.050935927283245,0.06186250512852002,0.0,0.06186250512852002,0.035576386376158856,0.0,0.02628611875236116,0.0,0.0,0.0
2022-06-15 02:00:00+00:00,19.2,49.0,148.8870826829679,35.0,5.2211,24.874847238434622,33.125152761565374,35.0,50.00000000000001,50.01629832348811,77.04330733744926,0.20562008077770694,1.0,0.0,0.0,0.0,33.125152761565374,33.125152761565374,0.0,0.0,23.973972258779945,5.2211,0.0,5.2211,33.125152761565374,25.34735732172053,0.14942296436078367,54.12817987819915,47.150934215734786,25.34735732172053,0,0,0.0290538951,0.0290538951,0.581077902,0.17318,19.049400766624675,-0.9505992333753253,0.0,33.125152761565374,0.14942296436078367,54.12817987819915,47.150934215734786,0.3550430451384906,54.12817987819915,5.2211,19.049400766624675,0.0614863545570838,0.0,0.0614863545570838,0.03560928558908329,0.0,0.025877068968000516,0.0,0.0,0.0
2022-06-15 03:00:00+00:00,18.7,48.0,148.8870826829679,35.0,5.6747457428213,25.409233449567353,33.0,35.0,50.00000000000001,50.01552603817264,78.28510320732134,0.2226267878300844,1.0,0.0,0.0,0.0,33.0,33.0,0.0,0.0,22.28053214539081,5.6747457428213,0.0,5.6747457428213,33.0,25.878151827891863,0.13670928504455251,52.96052259087344,46.92501363263147,25.878151827891863,0,0,0.0290538951,0.0290538951,0.581077902,0.18003,18.910716076867715,-1.0892839231322857,0.0,33.0,0.13670928504455251,52.96052259087344,46.92501363263147,0.3593360728746369,52.96052259087344,5.6747457428213,18.910716076867715,0.06469127319962088,0.0,0.06469127319962088,0.040079500613050094,0.0,0.02461177258657079,0.0,0.0,0.0
2022-06-15 04:00:00+00:00,18.4,49.0,148.8870826829679,35.0,5.327193213652885,24.957001328915496,33.042998671084504,35.0,50.00000000000001,50.01629832348815,78.30499985415379,0.2092975103276539,1.0,0.0,0.0,0.0,33.042998671084504,33.042998671084504,0.0,0.0,23.195123484417174,5.327193213652885,0.0,5.327193213652885,33.042998671084504,25.41282411504185,0.14328233866356715,53.202277844043124,47.19597535465944,25.41282411504185,0,0,0.0290538951,0.0290538951,0.581077902,0.17556,18.933060656409936,-1.0669393435900636,0.0,33.042998671084504,0.14328233866356715,53.202277844043124,47.19597535465944,0.3525798489912211,53.202277844043124,5.327193213652885,18.933060656409936,0.06189891828889877,0.0,0.06189891828889877,0.03674427091312292,0.0,0.02515464737577585,0.0,0.0,0.0
2022-06-15 05:00:00+00:00,18.3,47.0,74.44354134148395,35.0,5.2211,28.874847238434622,33.0,35.0,25.000000000000004,25.004814739275687,61.0845531995277,0.20562008077770694,1.0,0.0,0.0,0.0,33.0,33.0,0.0,0.0,13.268023745943086,5.2211,0.0,5.2211,33.0,28.887579986894572,0.10878046497963098,18.65404389260118,24.927624795616083,28.887579986894572,0,0,0.0290538951,0.0290538951,0.581077902,0.17891,19.017553440350852,-0.9824465596491474,0.0,33.0,0.10878046497963098,18.65404389260118,24.927624795616083,0.3144005457573379,18.65404389260118,5.2211,19.017553440350852,0.056249401641445325,0.0,0.056249401641445325,0.03678748865193955,0.0,0.01946191298950578,0.0,0.0,0.0
2022-06-15 06:00:00+00:00,18.8,48.0,74.44354134148395,35.0,5.2211,28.874847238434622,33.0,35.0,25.000000000000004,25.004814739275687,61.0845531995277,0.20562008077770694,1.0,0.0,0.0,0.0,33.0,33.0,0.0,0.0,13.18621246238683,5.2211,0.0,5.2211,33.0,29.0434809623001,0.1088333269747561,18.12132370655206,23.982509310234494,29.0434809623001,0,0,0.0290538951,0.0290538951,0.581077902,0.17891,18.984484249663204,-1.015515750336795,0.0,33.0,0.1088333269747561,18.12132370655206,23.982509310234494,0.31445340775246305,18.12132370655206,5.2211,18.984484249663204,0.056258859180993166,0.0,0.056258859180993166,0.03678748865193955,0.0,0.019471370529053615,0.0,0.0,0.0
2022-06-15 07:00:00+00:00,19.7,45.0,74.44354134148395,35.0,5.2211,28.874847238434622,33.0,35.0,25.000000000000004,25.004814739275687,61.0845531995277,0.20562008077770694,1.0,0.0,0.0,0.0,33.0,33.0,0.0,0.0,13.222231692560026,5.2211,0.0,5.2211,33.0,29.111047460775673,0.10880937408954733,17.686236056003395,23.572905352451464,29.111047460775673,0,0,0.0290538951,0.0290538951,0.581077902,0.16556,19.093785874031276,-0.9062141259687226,0.0,33.0,0.10880937408954733,17.686236056003395,23.572905352451464,0.31442945486725427,17.686236056003395,5.2211,19.093785874031276,0.052056940547822624,0.0,0.052056940547822624,0.034042460573557164,0.0,0.018014479974265456,0.0,0.0,0.0
2022-06-15 08:00:00+00:00,20.9,43.0,74.44354134148395,35.0,5.2211,28.874847238434622,33.0,35.0,25.000000000000004,25.004814739275687,61.0845531995277,0.20562008077770694,1.0,0.0,0.0,0.0,33.0,33.0,0.0,0.0,13.207307999965888,5.2211,0.0,5.2211,33.0,29.272581521004078,0.10881916874112921,17.087944741330716,22.593655583435925,29.272581521004078,0,0,0.0290538951,0.0290538951,0.581077902,0.15485,18.945463479099367,-1.0545365209006334,0.0,33.0,0.10881916874112921,17.087944741330716,22.593655583435925,0.3144392495188362,17.087944741330716,5.2211,18.945463479099367,0.048690917787991776,0.0,0.048690917787991776,0.031840269508427915,0.0,0.016850648279563857,0.0,0.0,0.0
2022-06-15 09:00:00+00:00,22.2,37.0,74.44354134148395,35.0,5.2211,28.874847238434622,33.0,35.0,25.000000000000004,25.004814739275687,61.0845531995277,0.20562008077770694,1.0,0.0,0.0,0.0,33.0,33.0,0.0,0.0,13.288304244073894,5.2211,0.0,5.2211,33.0,29.245765440520564,0.10876821344687643,16.748066069528136,22.756218956589446,29.245765440520564,0,0,0.0290538951,0.0290538951,0.581077902,0.15321,19.01073438927833,-0.9892656107216699,0.0,33.0,0.10876821344687643,16.748066069528136,22.756218956589446,0.31438829422458336,16.748066069528136,5.2211,19.01073438927833,0.04816743055814842,0.0,0.04816743055814842,0.031503052575952484,0.0,0.01666437798219594,0.0,0.0,0.0
