Tamb,HR,mv,Tv,qc,Tc_in,Tc_out,Tcond,Qc_released,Qc_absorbed,Qc_transfered,Ce_c,Rp,Rs,wdc,qdc,Tdc_in,Tdc_out,Ce_dc,Qdc,wwct,qwct,qwct_s,qwct_p,Twct_in,Twct_out,Ce_wct,Cw_wct,Qwct,Tcc_out,Cw_s1,Cw_s2,Pw,Pw_s1,Pw_s2,Pe,Vavail,deltaV,time,qdc_only,Tcc_in,Ce_cc,Cw_cc,Qcc,Ce,Cw,qcc,Vavail_s1,Je,Jw,J,Je_c,Je_dc,Je_wct,Jw_wct,Jw_s1,Jw_s2,dc_active,dc_mode,wct_active,wct_mode
30,40,179.90905949618698,42,16.0,33.538085756646744,40.0,42.0,120.00000000000003,120.0044780857618,209.59042754471847,1.6884336000000002,0.0,0.0,89.38222222222223,16.0,40.0,34.477933112465216,4.956371886057154,102.54950934742482,0.0,0.0,0.0,0.0,34.477933112465216,34.477933112465216,0.0,0.0,0.0,34.477933112465216,0.0,0,,,,,,,2005-06-23 13:01:00+02:00,16.0,40.0,4.956371886057154,0.0,102.54950934742482,6.6448054860571535,0.0,16.0,,,,,,,,,,,True,0,False,1
30,40,179.90905949618698,42,10.0,29.660937210634785,40.0,42.0,120.00000000000003,120.01116858913318,201.18176134078487,0.5670000000000002,0.0,0.6666666666666666,89.38222222222223,10.0,40.0,33.064494030396126,4.956371886057154,80.50017769541748,21.0,6.666666666666666,6.666666666666666,0.0,33.064494030396126,27.729452893283884,0.12866380000000005,56.66576669645292,41.293626518040064,30.93047757555123,56.66576669645292,0,,,,,,,2005-06-23 13:01:00+02:00,3.333333333333334,40.0,5.085035686057154,56.66576669645292,121.79380421345755,5.652035686057154,56.66576669645292,10.0,,,,,,,,,,,True,0,True,0
30,40,179.90905949618698,42,10.0,29.660937210634785,40.0,42.0,120.00000000000003,120.01116858913318,201.18176134078487,0.5670000000000002,0.0,0.6666666666666666,79.58444444444444,10.0,40.0,33.36320594614397,3.8868223126491355,77.03276615969169,21.362987969924813,6.666666666666666,6.666666666666666,0.0,33.36320594614397,27.803666933352794,0.1308072724373658,58.82031641435606,43.030736790673885,31.139390341027504,58.82031641435606,0,,,,,,,2005-06-23 13:01:00+02:00,3.333333333333334,40.0,4.017629585086501,58.82031641435606,120.06350295036557,4.5846295850865015,58.82031641435606,10.0,,,,,,,,,,,True,0,True,0
30,40,179.90905949618698,42,10.0,29.660937210634785,40.0,42.0,120.00000000000003,120.01116858913318,201.18176134078487,0.5670000000000002,0.0,0.7777777777777777,79.58444444444444,10.0,40.0,33.36320594614397,3.8868223126491355,77.03276615969169,21.0,7.777777777777777,7.777777777777777,0.0,33.36320594614397,28.408429656789373,0.12866380000000005,60.89835218620283,44.74067782273422,31.19549131955133,60.89835218620283,0,,,,,,,2005-06-23 13:01:00+02:00,2.222222222222223,40.0,4.0154861126491355,60.89835218620283,121.7734439824259,4.582486112649136,60.89835218620283,10.0,,,,,,,,,,,True,0,True,0
30,40,179.90905949618698,42,12.0,31.38411434219565,40.0,42.0,120.00000000000003,120.00784393244062,204.15119433220042,0.8502928,0.1111111111111111,0.4444444444444444,69.78666666666666,10.666666666666666,40.0,33.929968357601574,2.799109880036844,75.15088129101927,21.0,6.0740740740740735,4.7407407407407405,1.3333333333333333,35.26241432788416,28.49532275568388,0.12866380000000005,63.4341513617037,47.717748792639085,31.958105794073916,63.4341513617037,0,,,,,,,2005-06-23 13:01:00+02:00,5.925925925925926,40.0,2.927773680036844,63.4341513617037,122.86863008365836,3.778066480036844,63.4341513617037,12.0,,,,,,,,,,,True,0,True,0
30,40,179.90905949618698,42,12.0,31.38411434219565,40.0,42.0,120.00000000000003,120.00784393244062,204.15119433220042,0.8502928,0.0,0.5555555555555556,59.988888888888894,12.0,40.0,34.75612254192554,1.834397698143116,73.0372730619955,21.0,6.666666666666667,6.666666666666667,0.0,34.75612254192554,28.590078070207234,0.12866380000000005,63.56443921756727,47.7219483285575,32.553963802026146,63.56443921756727,0,,,,,,,2005-06-23 13:01:00+02:00,5.333333333333333,40.0,1.963061498143116,63.56443921756727,120.75922139055301,2.813354298143116,63.56443921756727,12.0,,,,,,,,,,,True,0,True,0
30,40,179.90905949618698,42,14.0,32.61495515045341,39.99999999999999,42.0,120.00000000000003,120.00581439069332,206.99342242723964,1.2217664,0.0,0.4444444444444444,50.19111111111111,14.0,39.99999999999999,35.75934714980274,1.0800830238357513,68.90769522436707,21.544481954887218,6.222222222222221,6.222222222222221,0.0,35.75934714980274,28.673316155473437,0.13191970281429855,67.96963111591322,51.184505898352256,33.57902992077834,67.96963111591322,0,,,,,,,2005-06-23 13:01:00+02:00,7.777777777777779,39.99999999999999,1.21200272665005,67.96963111591322,120.09220112271933,2.43376912665005,67.96963111591322,14.0,,,,,,,,,,,True,0,True,0
30,40,179.90905949618698,42,14.0,32.61495515045341,39.99999999999999,42.0,120.00000000000003,120.00581439069332,206.99342242723964,1.2217664,0.0,0.5555555555555556,50.19111111111111,14.0,39.99999999999999,35.75934714980274,1.0800830238357513,68.90769522436707,21.0,7.777777777777779,7.777777777777779,0.0,35.75934714980274,29.684335994912978,0.12866380000000005,72.23680363130552,54.85060629067679,33.58970030877068,72.23680363130552,0,,,,,,,2005-06-23 13:01:00+02:00,6.222222222222221,39.99999999999999,1.2087468238357513,72.23680363130552,123.75830151504385,2.430513223835751,72.23680363130552,14.0,,,,,,,,,,,True,0,True,0
30,40,179.90905949618698,42,12.0,31.38411434219565,40.0,42.0,120.00000000000003,120.00784393244062,204.15119433220042,0.8502928,0.0,0.6666666666666666,50.19111111111111,12.0,40.0,35.29989474003985,1.0800830238357513,65.46323404108072,21.544481954887218,8.0,8.0,0.0,35.29989474003985,29.42556650299273,0.13191970281429855,72.40600950551016,54.55503577911701,32.950163445221,72.40600950551016,0,,,,,,,2005-06-23 13:01:00+02:00,4.0,40.0,1.21200272665005,72.40600950551016,120.01826982019773,2.06229552665005,72.40600950551016,12.0,,,,,,,,,,,True,0,True,0
30,40,179.90905949618698,42,12.0,31.38411434219565,40.0,42.0,120.00000000000003,120.00784393244062,204.15119433220042,0.8502928,0.0,0.7777777777777777,50.19111111111111,12.0,40.0,35.29989474003985,1.0800830238357513,65.46323404108072,21.0,9.333333333333332,9.333333333333332,0.0,35.29989474003985,30.16102905260093,0.12866380000000005,74.06856269669515,55.67787895038721,33.05164100178533,74.06856269669515,0,,,,,,,2005-06-23 13:01:00+02:00,2.666666666666668,40.0,1.2087468238357513,74.06856269669515,121.14111299146793,2.0590396238357513,74.06856269669515,12.0,,,,,,,,,,,True,0,True,0
