env_idx,time,GD_norm,n_rl_solutions,n_reference_solutions,Cw_ref_min,Cw_ref_max,Ce_ref_min,Ce_ref_max
0,2005-06-23 13:00:00+02:00,0.07205165484467484,4,64,97.33812219929678,210.2107414109705,2.46494554696526,10.632334288153494
1,2005-06-23 13:01:00+02:00,0.09707044191831629,4,21,0.0,142.09420932364446,0.7779812895155233,6.6448054860571535
