Tamb,Tdc_in,qdc,wdc,Tdc_out
10.3333333333333,26.8333333333333,18,28.636,23.2125921895061
10.3333333333333,26.8333333333333,18,46.272,21.4272894059196
10.3333333333333,26.8333333333333,18,63.908,20.0311691557613
10.3333333333333,26.8333333333333,18,81.544,18.9217122395833
10.3333333333333,26.8333333333333,18,99.18,18.0193684895833
10.3333333333333,26.8333333333333,21,11,25.7292730922573
10.3333333333333,26.8333333333333,21,28.636,23.6632930636653
10.3333333333333,26.8333333333333,21,46.272,22.0347235289732
10.3333333333333,26.8333333333333,21,63.908,20.7216766732791
10.3333333333333,26.8333333333333,21,81.544,19.6506293723259
10.3333333333333,26.8333333333333,21,99.18,18.7686360677083
10.3333333333333,26.8333333333333,24,11,25.8625373709691
10.3333333333333,26.8333333333333,24,28.636,24.0169605665579
10.3333333333333,26.8333333333333,24,46.272,22.520612410898
10.3333333333333,26.8333333333333,24,63.908,21.2929151922463
10.3333333333333,26.8333333333333,24,81.544,20.2653381027848
10.3333333333333,26.8333333333333,24,99.18,19.4051106770833
10.3333333333333,31.3333333333333,6,11,26.8531133253653
10.3333333333333,31.3333333333333,6,28.636,20.9153645833333
10.3333333333333,31.3333333333333,6,46.272,17.8802083333333
10.3333333333333,31.3333333333333,6,63.908,16.1267903645833
10.3333333333333,31.3333333333333,6,81.544,15.0091145833333
10.3333333333333,31.3333333333333,6,99.18,14.2400716145833
10.3333333333333,31.3333333333333,9,11,28.2082867973431
10.3333333333333,31.3333333333333,9,28.636,23.3367652475659
10.3333333333333,31.3333333333333,9,46.272,20.3411458333333
10.3333333333333,31.3333333333333,9,63.908,NaN
10.3333333333333,31.3333333333333,9,81.544,16.9983723958333
10.3333333333333,31.3333333333333,9,99.18,15.9934895833333
10.3333333333333,31.3333333333333,12,11,28.935912269646
10.3333333333333,31.3333333333333,12,28.636,24.885355766176
10.3333333333333,31.3333333333333,12,46.272,22.1222465747042
10.3333333333333,31.3333333333333,12,63.908,20.1463216145833
10.3333333333333,31.3333333333333,12,81.544,18.6902669270833
10.3333333333333,31.3333333333333,12,99.18,17.5725911458333
10.3333333333333,31.3333333333333,15,11,29.3890787949393
10.3333333333333,31.3333333333333,15,28.636,25.9464551140393
10.3333333333333,31.3333333333333,15,46.272,23.4305555920837
10.3333333333333,31.3333333333333,15,63.908,21.5305989583333
10.3333333333333,31.3333333333333,15,81.544,20.0745442708333
10.3333333333333,31.3333333333333,15,99.18,18.9261067708333
10.3333333333333,31.3333333333333,18,11,29.6992516056686
10.3333333333333,31.3333333333333,18,28.636,26.7070726077253
10.3333333333333,31.3333333333333,18,46.272,24.4249014017306
10.3333333333333,31.3333333333333,18,63.908,22.6390066413618
10.3333333333333,31.3333333333333,18,81.544,21.2127278645833
10.3333333333333,31.3333333333333,18,99.18,20.0540364583333
10.3333333333333,31.3333333333333,21,11,29.9247552945116
10.3333333333333,31.3333333333333,21,28.636,27.2861909188385
10.3333333333333,31.3333333333333,21,46.272,25.2013652808881
10.3333333333333,31.3333333333333,21,63.908,23.5222097935765
10.3333333333333,31.3333333333333,21,81.544,22.1515556461968
10.3333333333333,31.3333333333333,21,99.18,21.0179036458333
10.3333333333333,31.3333333333333,24,11,30.0947616980874
10.3333333333333,31.3333333333333,24,28.636,27.7348324326291
10.3333333333333,31.3333333333333,24,46.272,25.827191449793
10.3333333333333,31.3333333333333,24,63.908,24.2526374538154
10.3333333333333,31.3333333333333,24,81.544,22.9380577280646
10.3333333333333,31.3333333333333,24,99.18,21.8382161458333
10.3333333333333,35.8333333333333,6,11,30.3771039932588
10.3333333333333,35.8333333333333,6,28.636,23.1082356770833
10.3333333333333,35.8333333333333,6,46.272,19.3853352864583
10.3333333333333,35.8333333333333,6,63.908,17.2312825520833
10.3333333333333,35.8333333333333,6,81.544,15.8616536458333
10.3333333333333,35.8333333333333,6,99.18,14.9278157552083
10.3333333333333,35.8333333333333,9,11,32.0273040367918
10.3333333333333,35.8333333333333,9,28.636,26.0848517773154
10.3333333333333,35.8333333333333,9,46.272,22.4109700520833
10.3333333333333,35.8333333333333,9,63.908,19.9954427083333
10.3333333333333,35.8333333333333,9,81.544,18.3145345052083
10.3333333333333,35.8333333333333,9,99.18,17.0943196614583
10.3333333333333,35.8333333333333,12,11,32.9154701086315
10.3333333333333,35.8333333333333,12,28.636,27.980170380006
