Tamb,Tin,w_fan,q,Tout
10.3333333333333,26.8333333333333,28.636,12,22.4175832254331
10.3333333333333,26.8333333333333,46.272,12,20.7566898063756
10.3333333333333,26.8333333333333,63.908,12,19.6387532552083
10.3333333333333,26.8333333333333,81.544,12,18.8330891927083
10.3333333333333,26.8333333333333,99.18,12,18.2368977864583
10.3333333333333,26.8333333333333,11,15,25.4145627876829
10.3333333333333,26.8333333333333,28.636,15,23.0971409898029
10.3333333333333,26.8333333333333,46.272,15,21.5419709094877
10.3333333333333,26.8333333333333,63.908,15,20.4403889973958
10.3333333333333,26.8333333333333,81.544,15,19.6226399739583
10.3333333333333,26.8333333333333,99.18,15,18.9942220052083
10.3333333333333,26.8333333333333,11,18,25.6366141935506
10.3333333333333,26.8333333333333,28.636,18,23.5947759057022
10.3333333333333,26.8333333333333,46.272,18,22.156178793555
10.3333333333333,26.8333333333333,63.908,18,21.0944981229312
10.3333333333333,26.8333333333333,81.544,18,20.2832845052083
10.3333333333333,26.8333333333333,99.18,18,19.6387532552083
10.3333333333333,26.8333333333333,11,21,25.7983105004148
10.3333333333333,26.8333333333333,28.636,21,23.980804948942
10.3333333333333,26.8333333333333,46.272,21,22.646759628388
10.3333333333333,26.8333333333333,63.908,21,21.6273395883808
10.3333333333333,26.8333333333333,81.544,21,20.8352640776512
10.3333333333333,26.8333333333333,99.18,21,20.1946614583333
10.3333333333333,26.8333333333333,11,24,25.9216078274047
10.3333333333333,26.8333333333333,28.636,24,24.2837263258129
10.3333333333333,26.8333333333333,46.272,24,23.0449704579772
10.3333333333333,26.8333333333333,63.908,24,22.0749643366295
10.3333333333333,26.8333333333333,81.544,24,21.3022066496628
10.3333333333333,26.8333333333333,99.18,24,20.6700032552083
10.3333333333333,31.3333333333333,11,6,27.2766968879109
10.3333333333333,31.3333333333333,28.636,6,22.5867513020833
10.3333333333333,31.3333333333333,46.272,6,20.4231770833333
10.3333333333333,31.3333333333333,63.908,6,19.1927083333333
