Tamb,Tdc_in,qdc,wdc,Tdc_out
3,28.5,2076,11,11
3,28.5,2076,28.636,28.636
3,28.5,2076,46.272,46.272
3,28.5,2076,63.908,63.908
3,28.5,2076,81.544,81.544
3,28.5,2076,99.18,99.18
3,28.5,3114,11,11
3,28.5,3114,28.636,28.636
3,28.5,3114,46.272,46.272
3,28.5,3114,63.908,63.908
3,28.5,3114,81.544,81.544
3,28.5,3114,99.18,99.18
3,28.5,4152,11,11
3,28.5,4152,28.636,28.636
3,28.5,4152,46.272,46.272
3,28.5,4152,63.908,63.908
3,28.5,4152,81.544,81.544
3,28.5,4152,99.18,99.18
3,28.5,5190,11,11
3,28.5,5190,28.636,28.636
3,28.5,5190,46.272,46.272
3,28.5,5190,63.908,63.908
3,28.5,5190,81.544,81.544
3,28.5,5190,99.18,99.18
3,28.5,6228,11,11
3,28.5,6228,28.636,28.636
3,28.5,6228,46.272,46.272
3,28.5,6228,63.908,63.908
3,28.5,6228,81.544,81.544
3,28.5,6228,99.18,99.18
3,28.5,7266,11,11
3,28.5,7266,28.636,28.636
3,28.5,7266,46.272,46.272
3,28.5,7266,63.908,63.908
3,28.5,7266,81.544,81.544
3,28.5,7266,99.18,99.18
3,28.5,8304,11,11
3,28.5,8304,28.636,28.636
3,28.5,8304,46.272,46.272
3,28.5,8304,63.908,63.908
3,28.5,8304,81.544,81.544
3,28.5,8304,99.18,99.18
3,33,2076,11,11
3,33,2076,28.636,28.636
3,33,2076,46.272,46.272
3,33,2076,63.908,63.908
3,33,2076,81.544,81.544
3,33,2076,99.18,99.18
3,33,3114,11,11
3,33,3114,28.636,28.636
3,33,3114,46.272,46.272
3,33,3114,63.908,63.908
3,33,3114,81.544,81.544
3,33,3114,99.18,99.18
3,33,4152,11,11
3,33,4152,28.636,28.636
3,33,4152,46.272,46.272
3,33,4152,63.908,63.908
3,33,4152,81.544,81.544
3,33,4152,99.18,99.18
3,33,5190,11,11
3,33,5190,28.636,28.636
3,33,5190,46.272,46.272
3,33,5190,63.908,63.908
3,33,5190,81.544,81.544
3,33,5190,99.18,99.18
3,33,6228,11,11
3,33,6228,28.636,28.636
3,33,6228,46.272,46.272
3,33,6228,63.908,63.908
3,33,6228,81.544,81.544
3,33,6228,99.18,99.18
3,33,7266,11,11
3,33,7266,28.636,28.636
3,33,7266,46.272,46.272
3,33,7266,63.908,63.908
3,33,7266,81.544,81.544
3,33,7266,99.18,99.18
3,33,8304,11,11
3,33,8304,28.636,28.636
3,33,8304,46.272,46.272
3,33,8304,63.908,63.908
3,33,8304,81.544,81.544
3,33,8304,99.18,99.18
10.3333333333333,26.8333333333333,2076,11,11
10.3333333333333,26.8333333333333,2076,28.636,28.636
10.3333333333333,26.8333333333333,2076,46.272,46.272
10.3333333333333,26.8333333333333,2076,63.908,63.908
10.3333333333333,26.8333333333333,2076,81.544,81.544
10.3333333333333,26.8333333333333,2076,99.18,99.18
10.3333333333333,26.8333333333333,3114,11,11
10.3333333333333,26.8333333333333,3114,28.636,28.636
10.3333333333333,26.8333333333333,3114,46.272,46.272
10.3333333333333,26.8333333333333,3114,63.908,63.908
10.3333333333333,26.8333333333333,3114,81.544,81.544
10.3333333333333,26.8333333333333,3114,99.18,99.18
10.3333333333333,26.8333333333333,4152,11,11
10.3333333333333,26.8333333333333,4152,28.636,28.636
10.3333333333333,26.8333333333333,4152,46.272,46.272
10.3333333333333,26.8333333333333,4152,63.908,63.908
10.3333333333333,26.8333333333333,4152,81.544,81.544
10.3333333333333,26.8333333333333,4152,99.18,99.18
10.3333333333333,26.8333333333333,5190,11,11
10.3333333333333,26.8333333333333,5190,28.636,28.636
10.3333333333333,26.8333333333333,5190,46.272,46.272
10.3333333333333,26.8333333333333,5190,63.908,63.908
10.3333333333333,26.8333333333333,5190,81.544,81.544
10.3333333333333,26.8333333333333,5190,99.18,99.18
10.3333333333333,26.8333333333333,6228,11,11
10.3333333333333,26.8333333333333,6228,28.636,28.636
10.3333333333333,26.8333333333333,6228,46.272,46.272
10.3333333333333,26.8333333333333,6228,63.908,63.908
10.3333333333333,26.8333333333333,6228,81.544,81.544
10.3333333333333,26.8333333333333,6228,99.18,99.18
10.3333333333333,26.8333333333333,7266,11,11
10.3333333333333,26.8333333333333,7266,28.636,28.636
10.3333333333333,26.8333333333333,7266,46.272,46.272
10.3333333333333,26.8333333333333,7266,63.908,63.908
10.3333333333333,26.8333333333333,7266,81.544,81.544
10.3333333333333,26.8333333333333,7266,99.18,99.18
10.3333333333333,26.8333333333333,8304,11,11
10.3333333333333,26.8333333333333,8304,28.636,28.636
10.3333333333333,26.8333333333333,8304,46.272,46.272
10.3333333333333,26.8333333333333,8304,63.908,63.908
10.3333333333333,26.8333333333333,8304,81.544,81.544
10.3333333333333,26.8333333333333,8304,99.18,99.18
10.3333333333333,31.3333333333333,2076,11,11
10.3333333333333,31.3333333333333,2076,28.636,28.636
10.3333333333333,31.3333333333333,2076,46.272,46.272
10.3333333333333,31.3333333333333,2076,63.908,63.908
10.3333333333333,31.3333333333333,2076,81.544,81.544
10.3333333333333,31.3333333333333,2076,99.18,99.18
10.3333333333333,31.3333333333333,3114,11,11
10.3333333333333,31.3333333333333,3114,28.636,28.636
10.3333333333333,31.3333333333333,3114,46.272,46.272
10.3333333333333,31.3333333333333,3114,63.908,63.908
10.3333333333333,31.3333333333333,3114,81.544,81.544
10.3333333333333,31.3333333333333,3114,99.18,99.18
10.3333333333333,31.3333333333333,4152,11,11
10.3333333333333,31.3333333333333,4152,28.636,28.636
10.3333333333333,31.3333333333333,4152,46.272,46.272
10.3333333333333,31.3333333333333,4152,63.908,63.908
10.3333333333333,31.3333333333333,4152,81.544,81.544
10.3333333333333,31.3333333333333,4152,99.18,99.18
10.3333333333333,31.3333333333333,5190,11,11
10.3333333333333,31.3333333333333,5190,28.636,28.636
10.3333333333333,31.3333333333333,5190,46.272,46.272
10.3333333333333,31.3333333333333,5190,63.908,63.908
10.3333333333333,31.3333333333333,5190,81.544,81.544
