Tamb,HR,Tin,q,w_fan,Tout,m_w_lost,Ce
3,99.9,26.25,1107,64.5899805326715,12.1150118447959,17071.2824917305,185.285245388505
3,99.9,26.25,1707.63157894737,47.2844996189163,15.2157895864077,21271.4978748804,114.284938261568
3,99.9,26.25,2308.26315789474,40.6929017412864,17.1860247956322,24129.9022242205,94.7910546060109
3,99.9,26.25,2458.42105263158,70.1844781515001,17.1860247995758,25699.6085562316,214.479888913747
3,99.9,26.25,2908.89473684211,37.1680501784581,18.5514924312159,26214.1641933147,86.0259137928915
3,99.9,26.25,3059.05263157895,57.7017429281197,18.5514924332001,27567.3460870079,153.541256643239
3,99.9,26.25,3209.21052631579,90.960230166992,18.5514924287678,28920.5280025543,349.346979941258
3,99.9,26.25,3359.36842105263,21.6722524690171,19.5551697955075,26618.9290121487,60.5836671344398
3,99.9,26.25,3509.52631578947,34.9672190247648,19.5551697958296,27808.7485963903,81.1282026840825
3,99.9,26.25,3659.68421052632,50.8549058403688,19.5551697956541,28998.5681820332,126.562574374824
3,99.9,26.25,3809.84210526316,71.9598655922582,19.5551697944942,30188.3877718399,224.383384792159
3,99.9,26.25,3960,22.2203434331132,20.3248161516495,28010.6950774526,61.13497917637
8.22222222222222,38.3051311606622,26.25,1107,64.5899805326715,12.0871610632125,19417.6312484797,188.152917745048
8.22222222222222,38.3051311606622,26.25,1707.63157894737,47.2844996189163,15.2137619436905,23224.3993511819,116.053734031219
8.22222222222222,38.3051311606622,26.25,2308.26315789474,40.6929017412864,17.1920960950156,25940.2973516717,96.2581422112395
8.22222222222222,38.3051311606622,26.25,2458.42105263158,70.1844781515001,17.1920960989381,27627.77410179,217.799408755614
8.22222222222222,38.3051311606622,26.25,2908.89473684211,37.1680501784581,18.5614956338592,27844.3190195846,87.3573427170509
8.22222222222222,38.3051311606622,26.25,3059.05263157895,57.7017429281197,18.5614956358235,29281.6499240412,155.917625124936
8.22222222222222,38.3051311606622,26.25,3209.21052631579,90.960230166992,18.5614956322099,30718.9808495674,354.753846932306
8.22222222222222,38.3051311606622,26.25,3359.36842105263,21.6722524690171,19.5667850409958,28040.3015246727,61.5213246750344
8.22222222222222,38.3051311606622,26.25,3509.52631578947,34.9672190247648,19.5667850423072,29293.653970141,82.3838293999894
8.22222222222222,38.3051311606622,26.25,3659.68421052632,50.8549058403688,19.5667850420604,30547.0064221233,128.521391954424
8.22222222222222,38.3051311606622,26.25,3809.84210526316,71.9598655922582,19.5667850413254,31800.3588763623,227.856181713937
8.22222222222222,38.3051311606622,26.25,3960,22.2203434331132,20.3369615763047,29326.41941413,62.0811694109691
13.4444444444444,4.97659870820585,26.25,1107,64.5899805326715,12.0388482171151,22671.516412897,191.000544181081
13.4444444444444,4.97659870820585,26.25,1707.63157894737,47.2844996189163,15.1881007883575,26608.8381952145,117.810165369028
13.4444444444444,4.97659870820585,26.25,2308.26315789474,40.6929017412864,17.1793424655896,29238.7627865226,97.7149744184104
13.4444444444444,4.97659870820585,26.25,2458.42105263158,70.1844781515001,17.1793424695594,31140.8123935008,221.095724122699
13.4444444444444,4.97659870820585,26.25,2908.89473684211,37.1680501784581,18.555262161736,31125.8174714491,88.6794645394706
13.4444444444444,4.97659870820585,26.25,3059.05263157895,57.7017429281197,18.5552621636156,32732.540169425,158.277382052813
13.4444444444444,4.97659870820585,26.25,3209.21052631579,90.960230166992,18.5552621599954,34339.2628916666,360.122918243641
13.4444444444444,4.97659870820585,26.25,3359.36842105263,21.6722524690171,19.5645306746419,31156.8580728534,62.452427698171
13.4444444444444,4.97659870820585,26.25,3509.52631578947,34.9672190247648,19.5645306758374,32549.5151466412,83.6306788951374
13.4444444444444,4.97659870820585,26.25,3659.68421052632,50.8549058403688,19.5645306755252,33942.172227659,130.466516790708
13.4444444444444,4.97659870820585,26.25,3809.84210526316,71.9598655922582,19.5645306743821,35334.8293132971,231.304702706534
13.4444444444444,4.97659870820585,26.25,3960,22.2203434331132,20.3372704558183,32434.2429858844,63.0207454819289
3,99.9,33,1107,64.5899805326715,13.7105492618176,24577.0017590136,185.285245388505
3,99.9,33,1707.63157894737,47.2844996189163,17.5723459159751,31528.1228142471,114.284938261568
3,99.9,33,2308.26315789474,40.6929017412864,20.1163670328845,36488.9230558329,94.7910546060109
3,99.9,33,2458.42105263158,70.1844781515001,20.1163670376642,38862.612476717,214.479888913747
3,99.9,33,2908.89473684211,37.1680501784581,21.9283923912046,40217.4495500636,86.0259137928915
3,99.9,33,3059.05263157895,57.7017429281197,21.928392393803,42293.4846344081,153.541256643239
3,99.9,33,3209.21052631579,90.960230166992,21.9283923888964,44369.51974473,349.346979941258
3,99.9,33,3359.36842105263,21.6722524690171,23.2884898226337,41281.6851066723,60.5836671344398
3,99.9,33,3509.52631578947,34.9672190247648,23.2884898260611,43126.9042370081,81.1282026840825
3,99.9,33,3659.68421052632,50.8549058403688,23.2884898245815,44972.1233887231,126.562574374824
3,99.9,33,3809.84210526316,71.9598655922582,23.2884898242129,46817.3425343968,224.383384792159
3,99.9,33,3960,22.2203434331132,24.3485934395746,43802.5860826246,61.13497917637
8.22222222222222,38.3051311606622,33,1107,64.5899805326715,13.6914224365063,26654.6257372415,188.152917745048
8.22222222222222,38.3051311606622,33,1707.63157894737,47.2844996189163,17.5791196759607,33116.8492505955,116.053734031219
8.22222222222222,38.3051311606622,33,2308.26315789474,40.6929017412864,20.1297195594542,37955.7573563121,96.2581422112395
8.22222222222222,38.3051311606622,33,2458.42105263158,70.1844781515001,20.1297195645274,40424.8677624922,217.799408755614
8.22222222222222,38.3051311606622,33,2908.89473684211,37.1680501784581,21.9449531179694,41475.4136648227,87.3573427170509
