eval_index,Tamb,HR,Twct_in,qwct,wwct,Twb,mw_ma_ratio,Tout,m_w_lost,evaluation_status,Ce
0,14.75,0.0009707903002056,27.0,1152.0,32.103815030028905,3.0704317474709653,0.5000000034427663,12.25877754084538,25137.208430533014,2,13.303067083953858
1,14.75,0.0009707903002056,27.0,1152.0,23.86451098354413,3.0704317474709653,1.3750000297694864,18.873750955295808,13322.137777304437,2,7.0776653084085615
2,14.75,0.0009707903002056,27.0,1152.0,22.15195531664872,3.0704317474709653,2.250000048036049,17.13180904916264,16348.591636818306,2,6.05075918171682
3,14.75,0.0009707903002056,27.0,1152.0,21.41025887352205,3.0704317474709653,3.125000258558228,17.121928565564744,16526.03631580689,2,5.633494805104932
4,14.75,0.0009707903002056,27.0,1407.2727272727273,35.21854147837161,3.0704317474709653,0.5000000065864374,12.25877317151748,30707.394840625828,2,16.235339581701126
6,14.75,0.0009707903002056,27.0,1407.2727272727273,22.74398099090396,3.0704317474709653,2.2500001093191098,17.131809253126274,19971.29043371717,2,6.395695099767641
7,14.75,0.0009707903002056,27.0,1407.2727272727273,21.83201826090638,3.0704317474709653,3.1250002150787,17.12192847480657,20188.055941667462,2,5.86874614399937
9,14.75,0.0009707903002056,27.0,1662.5454545454545,38.49090306230989,3.0704317474709653,0.5000000040165121,12.258773136004278,36277.5735403049,2,19.674484161094032
11,14.75,0.0009707903002056,27.0,1662.5454545454545,23.34058149466525,3.0704317474709653,2.2500000011859247,10.218471513656365,47468.01122448569,2,6.754033248747866
12,14.75,0.0009707903002056,27.0,1662.5454545454545,22.256067040062167,3.0704317474709653,3.1250000693813,17.121928170635904,23850.07624296785,2,6.110652337513466
13,14.75,0.0009707903002056,27.0,1662.5454545454545,21.65262826328642,3.0704317474709653,4.000000148182431,21.98825836281416,11414.431756256416,2,5.768034453360333
14,14.75,0.0009707903002056,27.0,1917.818181818182,41.947570789544194,3.0704317474709653,0.5000000012505107,12.258773100008105,41847.75227313009,2,23.71851091824676
15,14.75,0.0009707903002056,27.0,1917.818181818182,26.88486829176508,3.0704317474709653,1.3750000135852734,18.873750888589885,22178.33182709905,2,9.108777973193405
16,14.75,0.0009707903002056,27.0,1917.818181818182,23.941863949397334,3.0704317474709653,2.250000086626434,10.21847174221032,54756.405325294094,2,7.126157804464304
17,14.75,0.0009707903002056,27.0,1917.818181818182,22.68244263519993,3.0704317474709653,3.1250001207160745,17.12192827785585,27512.09547707309,2,6.359347469869616
18,14.75,0.0009707903002056,27.0,1917.818181818182,21.982957104817213,3.0704317474709653,4.000000040579756,21.98825823875744,13167.041684453076,2,5.954232535288848
19,14.75,0.0009707903002056,27.0,2173.090909090909,45.623710056674696,3.0704317474709653,0.5000000009864493,12.258773090882444,47417.93093535079,2,28.497427732288656
20,14.75,0.0009707903002056,27.0,2173.090909090909,27.919790209858725,3.0704317474709653,1.375000029784316,18.87375004850041,25130.398995677297,2,9.870622619580557
21,14.75,0.0009707903002056,27.0,2173.090909090909,24.54794086825606,3.0704317474709653,2.250000073268375,17.13180913313931,30839.388460317125,2,7.512469490000913
22,14.75,0.0009707903002056,27.0,2173.090909090909,23.111184114216737,3.0704317474709653,3.125000012027069,12.219476029664127,50766.48192353775,2,6.614969833171106
23,14.75,0.0009707903002056,27.0,2173.090909090909,22.31469123244264,3.0704317474709653,4.000000093989488,13.732652812317818,43981.09652775286,2,6.14452120291034
25,14.75,0.0009707903002056,27.0,2428.3636363636365,28.969798940129884,3.0704317474709653,1.3750000219282366,18.87375092285673,28082.46099764233,2,10.678538914453297
26,14.75,0.0009707903002056,27.0,2428.3636363636365,25.15892870600464,3.0704317474709653,2.2500000279534498,21.36427755663348,19364.19986990475,2,7.913385464746278
28,14.75,0.0009707903002056,27.0,2428.3636363636365,22.64784888860209,3.0704317474709653,4.000000066199476,23.49469990992145,12009.63478519348,2,6.338964995815704
31,14.75,0.0009707903002056,27.0,2683.636363636364,25.77494851861936,3.0704317474709653,2.25000005975216,21.364277619146225,21399.789373971285,2,8.329340523623792
37,14.75,0.0009707903002056,27.0,2938.909090909091,24.41200638502977,3.0704317474709653,3.1250000101216378,17.12192804692814,42160.17475807887,2,7.424841672564082
39,14.75,0.0009707903002056,27.0,3194.181818181818,63.89938492245707,3.0704317474709653,0.5000000000382638,12.25877308040229,69698.64552959487,2,60.11616115965529
40,14.75,0.0009707903002056,27.0,3194.181818181818,32.21741083636552,3.0704317474709653,1.3750000049626256,18.873750852969906,36938.65522256327,2,13.404276064391611
41,14.75,0.0009707903002056,27.0,3194.181818181818,27.02259600733492,3.0704317474709653,2.2500000290677584,17.1318089860322,45330.18624369945,2,9.20820372932052
42,14.75,0.0009707903002056,27.0,3194.181818181818,24.850620226524853,3.0704317474709653,3.1250000682628167,17.121928168333056,45822.19373870031,2,7.709636165780853
44,14.75,0.0009707903002056,27.0,3449.454545454545,70.17175868030729,3.0704317474709653,0.5000000010263168,12.258773097044452,75268.82407190432,2,74.2174195121962
45,14.75,0.0009707903002056,27.0,3449.454545454545,33.33511935383766,3.0704317474709653,1.3750000100728264,18.87374996788744,39890.72411246795,2,14.423109617672994
46,14.75,0.0009707903002056,27.0,3449.454545454545,27.65449278561296,3.0704317474709653,2.2500000403997125,17.131809023784452,48952.88533305397,2,9.672080513048476
47,14.75,0.0009707903002056,27.0,3449.454545454545,25.29181070722792,3.0704317474709653,3.1250000847772688,17.121928202826314,49484.21311977469,2,8.002111903265709
48,14.75,0.0009707903002056,27.0,3449.454545454545,23.9950899249249,3.0704317474709653,4.000000095662129,21.988258302266704,23682.69924660752,2,7.159631670704046
49,14.75,0.0009707903002056,27.0,3704.727272727273,78.18161914808177,3.0704317474709653,0.5000000003163563,12.258776888289594,80838.98089141103,2,94.83831269449318
51,14.75,0.0009707903002056,27.0,3704.727272727273,28.291961217653697,3.0704317474709653,2.250000013096728,17.131808932915526,52575.58519743991,2,10.152936765901703
52,14.75,0.0009707903002056,27.0,3704.727272727273,25.735623763108777,3.0704317474709653,3.1250000745617053,19.97241329807572,41119.23083514694,2,8.30243367153954
53,14.75,0.0009707903002056,27.0,3704.727272727273,24.33565044824908,3.0704317474709653,4.000000082917869,23.494699922707152,18321.97645161113,2,7.3758699481185745
54,14.75,0.0009707903002056,27.0,3960.0,92.13614728369824,3.0704317474709653,0.5000000004713209,12.258777491079544,86409.1543107789,2,138.22862455578954
55,14.75,0.0009707903002056,27.0,3960.0,35.62877157409795,3.0704317474709653,1.3750000120214707,18.873750881365183,45794.849036007385,2,16.6461189616704
58,14.75,0.0009707903002056,27.0,3960.0,24.67775169325284,3.0704317474709653,4.000000041469876,21.988258239784503,27187.918830889143,2,7.59668206649227
59,14.75,0.0009707903002056,30.0,1152.0,32.103815030028905,3.0704317474709653,0.5000000034427663,13.007036571730206,28350.175882050244,2,13.303067083953858
60,14.75,0.0009707903002056,30.0,1152.0,23.86451098354413,3.0704317474709653,1.3750000297694864,20.44404081019846,15454.90275737632,2,7.0776653084085615
61,14.75,0.0009707903002056,30.0,1152.0,22.15195531664872,3.0704317474709653,2.250000048036049,23.292904819847465,10824.488986716247,2,6.05075918171682
62,14.75,0.0009707903002056,30.0,1152.0,21.41025887352205,3.0704317474709653,3.125000258558228,24.835858887305548,8329.704409682166,2,5.633494805104932
63,14.75,0.0009707903002056,30.0,1407.2727272727273,35.21854147837161,3.0704317474709653,0.5000000065864374,13.00704111698266,34632.307465191225,2,16.235339581701126
64,14.75,0.0009707903002056,30.0,1407.2727272727273,24.85779842122453,3.0704317474709653,1.3750000093206896,20.413827356115345,18954.80009435869,2,7.714346466076923
65,14.75,0.0009707903002056,30.0,1407.2727272727273,22.74398099090396,3.0704317474709653,2.2500001093191098,10.95530151766989,45566.3012393241,2,6.395695099767641
66,14.75,0.0009707903002056,30.0,1407.2727272727273,21.83201826090638,3.0704317474709653,3.1250002150787,24.83585882837315,10175.491298521112,2,5.86874614399937
67,14.75,0.0009707903002056,30.0,1407.2727272727273,21.32368721761956,3.0704317474709653,4.000000017625899,25.000601306872603,9955.076606678587,2,5.585864030537627
68,14.75,0.0009707903002056,30.0,1662.5454545454545,38.49090306230989,3.0704317474709653,0.5000000040165121,13.00704102446326,40914.44719962987,2,19.674484161094032
69,14.75,0.0009707903002056,30.0,1662.5454545454545,25.864400645723286,3.0704317474709653,1.3750000322432514,20.41382746439822,22393.11241285293,2,8.39072565504748
70,14.75,0.0009707903002056,30.0,1662.5454545454545,23.34058149466525,3.0704317474709653,2.2500000011859247,23.29290471231053,15621.705948124878,2,6.754033248747866
71,14.75,0.0009707903002056,30.0,1662.5454545454545,22.256067040062167,3.0704317474709653,3.1250000693813,24.83585863085793,12021.278552452895,2,6.110652337513466
72,14.75,0.0009707903002056,30.0,1662.5454545454545,21.65262826328642,3.0704317474709653,4.000000148182431,20.273525106831244,22945.86097426705,2,5.768034453360333
73,14.75,0.0009707903002056,30.0,1917.818181818182,41.947570789544194,3.0704317474709653,0.5000000012505107,13.007040987808828,47196.58684704376,2,23.71851091824676
74,14.75,0.0009707903002056,30.0,1917.818181818182,26.88486829176508,3.0704317474709653,1.3750000135852734,20.4138273763467,25831.425189540776,2,9.108777973193405
75,14.75,0.0009707903002056,30.0,1917.818181818182,23.941863949397334,3.0704317474709653,2.250000086626434,10.955301450338965,62097.331848164045,2,7.126157804464304
76,14.75,0.0009707903002056,30.0,1917.818181818182,22.68244263519993,3.0704317474709653,3.1250001207160745,13.175433253647968,51015.70205445888,2,6.359347469869616
77,14.75,0.0009707903002056,30.0,1917.818181818182,21.982957104817213,3.0704317474709653,4.000000040579756,25.00060133542316,13566.68571588922,2,5.954232535288848
78,14.75,0.0009707903002056,30.0,2173.090909090909,45.623710056674696,3.0704317474709653,0.5000000009864493,13.007041031157746,53478.72625220556,2,28.497427732288656
79,14.75,0.0009707903002056,30.0,2173.090909090909,27.919790209858725,3.0704317474709653,1.375000029784316,20.4440408194302,29153.566537583843,2,9.870622619580557
80,14.75,0.0009707903002056,30.0,2173.090909090909,24.54794086825606,3.0704317474709653,2.250000073268375,10.9553014107046,70362.84727016036,2,7.512469490000913
