,Tamb,HR,Twct_in,qwct,wwct,Twb,mw_ma_ratio
0,3.0,99.9,26.25,1107.0,64.58998053267148,2.9933841732537307,0.5000000001178736
1,3.0,99.9,26.25,1707.6315789473683,47.28449961891633,2.9933841732537307,0.8000000002650458
2,3.0,99.9,26.25,2308.2631578947367,40.692901741286356,2.9933841732537307,1.1000000000994887
3,3.0,99.9,26.25,2458.421052631579,70.18447815150009,2.9933841732537307,1.1000000008265995
4,3.0,99.9,26.25,2908.8947368421054,37.16805017845813,2.9933841732537307,1.4000000005037392
5,3.0,99.9,26.25,3059.0526315789475,57.701742928119735,2.9933841732537307,1.400000001005593
6,3.0,99.9,26.25,3209.2105263157896,90.960230166992,2.9933841732537307,1.4000000000578978
7,3.0,99.9,26.25,3359.3684210526317,21.67225246901709,2.9933841732537307,1.7000000003979447
8,3.0,99.9,26.25,3509.5263157894738,34.96721902476475,2.9933841732537307,1.7000000007915386
9,3.0,99.9,26.25,3659.684210526316,50.854905840368836,2.9933841732537307,1.7000000007126308
10,3.0,99.9,26.25,3809.842105263158,71.95986559225824,2.9933841732537307,1.7000000002937012
11,3.0,99.9,26.25,3960.0,22.220343433113207,2.9933841732537307,2.000000000190259
12,8.222222222222221,38.305131160662164,26.25,1107.0,64.58998053267148,3.000280285539546,0.5000000001178736
13,8.222222222222221,38.305131160662164,26.25,1707.6315789473683,47.28449961891633,3.000280285539546,0.8000000002650458
14,8.222222222222221,38.305131160662164,26.25,2308.2631578947367,40.692901741286356,3.000280285539546,1.1000000000994887
15,8.222222222222221,38.305131160662164,26.25,2458.421052631579,70.18447815150009,3.000280285539546,1.1000000008265995
16,8.222222222222221,38.305131160662164,26.25,2908.8947368421054,37.16805017845813,3.000280285539546,1.4000000005037392
17,8.222222222222221,38.305131160662164,26.25,3059.0526315789475,57.701742928119735,3.000280285539546,1.400000001005593
18,8.222222222222221,38.305131160662164,26.25,3209.2105263157896,90.960230166992,3.000280285539546,1.4000000000578978
19,8.222222222222221,38.305131160662164,26.25,3359.3684210526317,21.67225246901709,3.000280285539546,1.7000000003979447
20,8.222222222222221,38.305131160662164,26.25,3509.5263157894738,34.96721902476475,3.000280285539546,1.7000000007915386
21,8.222222222222221,38.305131160662164,26.25,3659.684210526316,50.854905840368836,3.000280285539546,1.7000000007126308
22,8.222222222222221,38.305131160662164,26.25,3809.842105263158,71.95986559225824,3.000280285539546,1.7000000002937012
23,8.222222222222221,38.305131160662164,26.25,3960.0,22.220343433113207,3.000280285539546,2.000000000190259
24,13.444444444444445,4.976598708205848,26.25,1107.0,64.58998053267148,3.0001441942880476,0.5000000001178736
25,13.444444444444445,4.976598708205848,26.25,1707.6315789473683,47.28449961891633,3.0001441942880476,0.8000000002650458
26,13.444444444444445,4.976598708205848,26.25,2308.2631578947367,40.692901741286356,3.0001441942880476,1.1000000000994887
27,13.444444444444445,4.976598708205848,26.25,2458.421052631579,70.18447815150009,3.0001441942880476,1.1000000008265995
28,13.444444444444445,4.976598708205848,26.25,2908.8947368421054,37.16805017845813,3.0001441942880476,1.4000000005037392
29,13.444444444444445,4.976598708205848,26.25,3059.0526315789475,57.701742928119735,3.0001441942880476,1.400000001005593
30,13.444444444444445,4.976598708205848,26.25,3209.2105263157896,90.960230166992,3.0001441942880476,1.4000000000578978
31,13.444444444444445,4.976598708205848,26.25,3359.3684210526317,21.67225246901709,3.0001441942880476,1.7000000003979447
32,13.444444444444445,4.976598708205848,26.25,3509.5263157894738,34.96721902476475,3.0001441942880476,1.7000000007915386
33,13.444444444444445,4.976598708205848,26.25,3659.684210526316,50.854905840368836,3.0001441942880476,1.7000000007126308
34,13.444444444444445,4.976598708205848,26.25,3809.842105263158,71.95986559225824,3.0001441942880476,1.7000000002937012
35,13.444444444444445,4.976598708205848,26.25,3960.0,22.220343433113207,3.0001441942880476,2.000000000190259
36,3.0,99.9,33.0,1107.0,64.58998053267148,2.9933841732537307,0.5000000001178736
37,3.0,99.9,33.0,1707.6315789473683,47.28449961891633,2.9933841732537307,0.8000000002650458
38,3.0,99.9,33.0,2308.2631578947367,40.692901741286356,2.9933841732537307,1.1000000000994887
39,3.0,99.9,33.0,2458.421052631579,70.18447815150009,2.9933841732537307,1.1000000008265995
40,3.0,99.9,33.0,2908.8947368421054,37.16805017845813,2.9933841732537307,1.4000000005037392
41,3.0,99.9,33.0,3059.0526315789475,57.701742928119735,2.9933841732537307,1.400000001005593
42,3.0,99.9,33.0,3209.2105263157896,90.960230166992,2.9933841732537307,1.4000000000578978
43,3.0,99.9,33.0,3359.3684210526317,21.67225246901709,2.9933841732537307,1.7000000003979447
44,3.0,99.9,33.0,3509.5263157894738,34.96721902476475,2.9933841732537307,1.7000000007915386
45,3.0,99.9,33.0,3659.684210526316,50.854905840368836,2.9933841732537307,1.7000000007126308
46,3.0,99.9,33.0,3809.842105263158,71.95986559225824,2.9933841732537307,1.7000000002937012
47,3.0,99.9,33.0,3960.0,22.220343433113207,2.9933841732537307,2.000000000190259
48,8.222222222222221,38.305131160662164,33.0,1107.0,64.58998053267148,3.000280285539546,0.5000000001178736
49,8.222222222222221,38.305131160662164,33.0,1707.6315789473683,47.28449961891633,3.000280285539546,0.8000000002650458
50,8.222222222222221,38.305131160662164,33.0,2308.2631578947367,40.692901741286356,3.000280285539546,1.1000000000994887
51,8.222222222222221,38.305131160662164,33.0,2458.421052631579,70.18447815150009,3.000280285539546,1.1000000008265995
52,8.222222222222221,38.305131160662164,33.0,2908.8947368421054,37.16805017845813,3.000280285539546,1.4000000005037392
