Tamb,HR,Tin,q,w_fan,Tout,m_w_lost
17.49,23.11,37.39,11.83,21,30.24,127.68
23.82,55.77,37.5,11.95,21.00,31.93,102.45
16.91,28.45,36.13,11.83,25.79,28,141.43
29.23,17.3,37.15,8.99,27.45,27.99,143.71
22.84,17.08,39.42,11.95,21,31.81,142.11
23.57,63.84,40.27,12.1,24.15,33.03,134.58
15.66,13.58,39.74,11.66,21,30.89,150.68
29.26,31.06,40.72,8.97,48,26.03,221.52
15.79,16.14,35.35,18.05,21,30.81,123.87
31.04,22.37,32.9,17.78,44.91,26.98,186.25
16.43,25.06,35.98,18.45,33.56,28.5,196.83
28.61,23.96,36.93,17.89,47.7,28.56,248.94
16.28,20.14,39.8,22.03,29.16,33,220.96
25.06,55.41,40.06,22.18,42.49,32.97,243.47
23.13,23.49,40.15,15.16,31.46,30.93,216.2
23.97,58.19,39.95,17.68,40.70,31.53,227.01
27.02,34.97,41.14,21.94,42.76,33.01,288.29
