Tamb,HR,mv,qc,Rp,Rs,wdc,wwct,Ce,Cw,Tv,Qc_released,Qc_absorbed,Qc_transfered,Tc_in,Tc_out,Tcond,Ce_c,Uc,qcc,Tcc_in,Tcc_out,Ce_cc,Cw_cc,qwct_p,qwct_s,Qcc,qdc,Tdc_in,Tdc_out,Ce_dc,Qdc,qwct,Twct_in,Twct_out,Ce_wct,Cw_wct,Qwct
17.67171057226,43.180898157129,224.076934441763,23.9984930164888,0.483,0.054,31.974352085354,22.4700017458778,5.096935488912153,99.56470470326884,36.2610087293889,150.3141026324097,150.35325184213227,150.3141332200003,27.763249827096864,33.15952601953442,36.2610087293889,4.646554862514888,1.4547063689164301,23.9984930164888,33.15952601953442,27.636607306568877,0.4503806263972651,99.56470470326884,11.59127212696409,0.6699899280343343,154.22435602926788,12.40722088952471,33.15952601953442,28.07496962616886,0.3123662236149693,73.24161320533305,12.261262054998426,32.88169152282462,27.193026694350884,0.13801440278229582,99.56470470326884,80.98274282393481
13.5318425787106,61.4372624687656,276.536959126376,24.000376111944,0.5,0.0,30.6375225887057,23.7708230884558,5.079493012601954,109.41040023384984,37.774712643678,185.22753118339742,185.28128548957193,185.2275658590313,27.172351974482748,33.82171169403082,37.774712643678,4.647478984806266,1.4240010928315283,24.000376111944,33.82171169403082,26.966523389115828,0.4320140277956884,109.41040023384984,12.000188055972,0.0,191.01793892894693,12.000188055972,33.82171169403082,27.190804971984726,0.28424090015783154,92.38349547375692,12.000188055972,33.82171169403082,26.74224180624693,0.14777312763785688,109.41040023384984,98.63444345519
19.685473017988,23.7397782811459,217.364415451024,23.9993153897402,0.99,0.0,0.0,39.7573676882078,5.028469365859117,208.3522292966517,36.2413724183877,145.81407447476178,145.85009334190232,145.81410113771798,28.044397648935288,33.27894062321372,36.2413724183877,4.646958425014049,1.4689484359761624,23.9993153897402,33.27894062321372,27.518950039098424,0.381510940845067,208.3522292966517,23.7593222358428,0.0,160.49367138864912,0.23999315389740222,33.27894062321372,,0.0,0.0,23.7593222358428,33.27894062321372,27.460768316026552,0.381510940845067,208.3522292966517,160.49367138864912
19.4735995296331,38.7115282690498,263.510628603335,23.9982484007526,0.984,0.201,0.0,50.8496222953907,5.313814892678541,197.58473355475863,37.5750235183442,176.53725370976193,176.5853622950445,176.53728695680704,27.55088099479363,33.88881436416462,37.5750235183442,4.646434826700301,1.4437906106391982,23.9982484007526,33.88881436416462,27.41345924730468,0.6673800659782395,197.58473355475863,23.61427642634056,0.07717836685682043,180.99576791114177,0.38397197441204195,33.88881436416462,,0.0,0.0,23.69145479319738,33.88881436416462,27.308511918787154,0.6673800659782395,197.58473355475863,180.99576791114177
27.2137520399667,50.1499141548709,258.600484001078,23.9998797668609,0.417,0.0,100.0,66.4399994171522,11.755115637355553,128.63314724054354,37.3895920066611,173.2795369578644,173.32681329140996,173.27956894486496,27.550717641989724,33.77125036053611,37.3895920066611,4.647235394042912,1.44378927187875,23.9998797668609,33.77125036053611,27.293050001581783,7.107880243312641,128.63314724054354,10.007949862780995,0.0,180.51657260153735,13.991929904079903,33.77125036053611,29.678826660083978,5.8674,66.47521020940539,10.007949862780995,33.77125036053611,23.95753970923939,1.2404802433126414,128.63314724054354,114.04136239213197
28.3956897828864,42.8278412515964,270.261572979005,24.0016034482759,0.417,0.0,100.0,81.7096043422733,12.511318521846727,165.97881168893937,38.5762452107279,180.88046548482512,180.9214320628767,180.88049800456682,28.49600627353685,34.98905522937639,38.5762452107279,4.648081357835326,1.4913289107074696,24.0016034482759,34.98905522937639,27.468679970491344,7.863237164011401,165.97881168893937,10.00866863793105,0.0,209.56996346890884,13.992934810344849,34.98905522937639,30.866282341061996,5.8674,66.96883323362121,10.00866863793105,34.98905522937639,22.718554833698327,1.995837164011401,165.97881168893937,142.60113023528763
27.2751998236332,62.124991005291,200.822004346166,24.0000487948266,0.995,0.0,0.0,39.8466994121105,5.030726778779626,233.36762653706674,42.3995884773662,133.89559124124156,133.89702932568176,133.89561976522316,35.57846645733924,40.385227623728554,42.3995884773662,4.647318346822085,1.7604244171139696,24.0000487948266,40.385227623728554,34.353069231971425,0.38340843195754104,233.36762653706674,23.880048550852468,0.0,168.03348318154417,0.12000024397413311,40.385227623728554,,0.0,0.0,23.880048550852468,40.385227623728554,34.322756878244,0.38340843195754104,233.36762653706674,168.03348318154417
31.5009347442681,41.542743797766,280.806774458608,23.9993346854791,0.763,0.0,100.0,86.9010590241035,12.810758466827739,205.87880613990265,39.4533215755438,187.77461909047992,187.81136222532317,187.7746518696363,29.1022581858262,35.84347745629763,39.4533215755438,4.6469678942593795,1.5203538777895895,23.9993346854791,35.84347745629763,28.504278299916443,8.16379057256836,205.87880613990265,18.311492365020552,0.0,204.4778479797189,5.687842320458546,35.84347745629763,32.15178804296618,5.8674,24.373999854257406,18.311492365020552,35.84347745629763,27.371303451813183,2.2963905725683604,205.87880613990265,180.10384812546147
12.1648531763947,48.7142822960335,214.037280746988,24.0022209287326,0.008,0.0,30.0,0.0,4.920243433959221,0.0,44.3602708803611,142.42706221923095,142.4216934023648,142.42708908868696,37.186714586130414,42.299130385200435,44.3602708803611,4.648384433959221,1.800217781608382,24.0022209287326,42.299130385200435,36.85605810901646,0.2718589999999998,0.0,0.19201776742986082,0.0,151.63327788761868,23.81020316130274,42.299130385200435,36.812162364853684,0.2718589999999998,151.63327788761868,0.19201776742986082,42.299130385200435,,0.0,0.0,0.0
20.9233329223592,42.056076841053,303.464303911118,17.9985515828058,0.346,0.0,59.5066639786738,24.6752370543154,4.2040952750248755,136.0017130989726,43.3244585138288,202.1441333321471,202.15783434454812,202.14415561445404,30.283089257100606,39.959556249494824,43.3244585138288,2.256856543202516,1.466354755049268,17.9985515828058,39.959556249494824,28.96460640427303,1.9472387318223596,136.0017130989726,6.227498847650806,0.0,229.70961393689635,11.771052735154994,39.959556249494824,29.958563278508045,1.7918594035349928,136.6460218166701,6.227498847650806,39.959556249494824,27.085855549505105,0.15537932828736678,136.0017130989726,93.06359212022623
