Tamb,HR,mv,qc,Rp,Rs,wdc,wwct,Ce,Cw,Tv,Qc_released,Qc_absorbed,Qc_transfered,Tc_in,Tc_out,Tcond,Ce_c,Uc,qcc,Tcc_in,Tcc_out,Ce_cc,Cw_cc,qwct_p,qwct_s,Qcc,qdc,Tdc_in,Tdc_out,Ce_dc,Qdc,qwct,Twct_in,Twct_out,Ce_wct,Cw_wct,Qwct
17.67171057226,43.180898157129,224.076934441763,23.9984930164888,0.483,0.054,31.974352085354,22.4700017458778,5.096935488912153,95.53004339471134,36.2610087293889,150.3141026324097,150.35325184213227,150.3141332200003,27.763249827096864,33.15952601953442,36.2610087293889,4.646554862514888,1.4547063689164301,23.9984930164888,33.15952601953442,27.684295850705503,0.4503806263972651,95.53004339471134,11.59127212696409,0.6699899280343343,152.85367306853732,12.40722088952471,33.15952601953442,28.069098393972858,0.3123662236149693,73.32620042589791,12.261262054998426,32.881370702144096,27.294912593765588,0.13801440278229582,95.53004339471134,79.52747264263942
13.5318425787106,61.4372624687656,276.536959126376,24.000376111944,0.5,0.0,30.6375225887057,23.7708230884558,5.079493012601954,111.88730657193211,37.774712643678,185.22753118339742,185.28128548957193,185.2275658590313,27.172351974482748,33.82171169403082,37.774712643678,4.647478984806266,1.4240010928315283,24.000376111944,33.82171169403082,27.092710510131283,0.4320140277956884,111.88730657193211,12.000188055972,0.0,187.50095892726145,12.000188055972,33.82171169403082,27.215874923612752,0.28424090015783154,92.03413982900537,12.000188055972,33.82171169403082,26.969546096649818,0.14777312763785688,111.88730657193211,95.46681909825608
19.685473017988,23.7397782811459,217.364415451024,23.9993153897402,0.99,0.0,0.0,39.7573676882078,5.028469365859117,195.77339665111728,36.2413724183877,145.81407447476178,145.85009334190232,145.81410113771798,28.044397648935288,33.27894062321372,36.2413724183877,4.646958425014049,1.4689484359761624,23.9993153897402,33.27894062321372,27.65692011513498,0.381510940845067,195.77339665111728,23.7593222358428,0.0,156.648623030873,0.23999315389740222,33.27894062321372,,0.0,0.0,23.7593222358428,33.27894062321372,27.60013202919479,0.381510940845067,195.77339665111728,156.648623030873
19.4735995296331,38.7115282690498,263.510628603335,23.9982484007526,0.984,0.201,0.0,50.8496222953907,5.313814892678541,225.3898361926261,37.5750235183442,176.53725370976193,176.5853622950445,176.53728695680704,27.55088099479363,33.88881436416462,37.5750235183442,4.646434826700301,1.4437906106391982,23.9982484007526,33.88881436416462,27.330762076185916,0.6673800659782395,225.3898361926261,23.61427642634056,0.07717836685682043,183.30777096686634,0.38397197441204195,33.88881436416462,,0.0,0.0,23.69145479319738,33.88881436416462,27.22447445867601,0.6673800659782395,225.3898361926261,183.30777096686634
27.2137520399667,50.1499141548709,258.600484001078,23.9998797668609,0.417,0.0,100.0,66.4399994171522,11.755115637355553,149.2064496871009,37.3895920066611,173.2795369578644,173.32681329140996,173.27956894486496,27.550717641989724,33.77125036053611,37.3895920066611,4.647235394042912,1.44378927187875,23.9998797668609,33.77125036053611,27.512432907159692,7.107880243312641,149.2064496871009,10.007949862780995,0.0,174.4008884837998,13.991929904079903,33.77125036053611,29.68882342756443,5.8674,66.31280937512221,10.007949862780995,33.77125036053611,24.469661508128606,1.2404802433126414,149.2064496871009,108.0880791086776
28.3956897828864,42.8278412515964,270.261572979005,24.0016034482759,0.417,0.0,100.0,81.7096043422733,12.511318521846727,182.26351025002162,38.5762452107279,180.88046548482512,180.9214320628767,180.88049800456682,28.49600627353685,34.98905522937639,38.5762452107279,4.648081357835326,1.4913289107074696,24.0016034482759,34.98905522937639,27.97588693244612,7.863237164011401,182.26351025002162,10.00866863793105,0.0,195.42874122692433,13.992934810344849,34.98905522937639,30.877860075485906,5.8674,66.78075033052848,10.00866863793105,34.98905522937639,23.91869186675741,1.995837164011401,182.26351025002162,128.64799089639584
27.2751998236332,62.124991005291,200.822004346166,24.0000487948266,0.995,0.0,0.0,39.8466994121105,5.030726778779626,219.39085264288474,42.3995884773662,133.89559124124156,133.89702932568176,133.89561976522316,35.57846645733924,40.385227623728554,42.3995884773662,4.647318346822085,1.7604244171139696,24.0000487948266,40.385227623728554,34.272521975965944,0.38340843195754104,219.39085264288474,23.880048550852468,0.0,170.2773625942483,0.12000024397413311,40.385227623728554,,0.0,0.0,23.880048550852468,40.385227623728554,34.24180486215809,0.38340843195754104,219.39085264288474,170.2773625942483
31.5009347442681,41.542743797766,280.806774458608,23.9993346854791,0.763,0.0,100.0,86.9010590241035,12.810758466827739,241.86811247510968,39.4533215755438,187.77461909047992,187.81136222532317,187.7746518696363,29.1022581858262,35.84347745629763,39.4533215755438,4.6469678942593795,1.5203538777895895,23.9993346854791,35.84347745629763,28.920202787182358,8.16379057256836,241.86811247510968,18.311492365020552,0.0,192.88704097613146,5.687842320458546,35.84347745629763,32.15825322118664,5.8674,24.331311006678654,18.311492365020552,35.84347745629763,27.91441254752441,2.2963905725683604,241.86811247510968,168.5557299694528
12.1648531763947,48.7142822960335,214.037280746988,24.0022209287326,0.008,0.0,30.0,0.0,4.920243433959221,0.0,44.3602708803611,142.42706221923095,142.4216934023648,142.42708908868696,37.186714586130414,42.299130385200435,44.3602708803611,4.648384433959221,1.800217781608382,24.0022209287326,42.299130385200435,36.867755373634395,0.2718589999999998,0.0,0.19201776742986082,0.0,151.30740976944608,23.81020316130274,42.299130385200435,36.8239539622508,0.2718589999999998,151.30740976944608,0.19201776742986082,42.299130385200435,,0.0,0.0,0.0
20.9233329223592,42.056076841053,303.464303911118,17.9985515828058,0.346,0.0,59.5066639786738,24.6752370543154,4.2040952750248755,119.04156389469155,43.3244585138288,202.1441333321471,202.15783434454812,202.14415561445404,30.283089257100606,39.959556249494824,43.3244585138288,2.256856543202516,1.466354755049268,17.9985515828058,39.959556249494824,28.82110471234406,1.9472387318223596,119.04156389469155,6.227498847650806,0.0,232.70867076601098,11.771052735154994,39.959556249494824,29.95810297801146,1.7918594035349928,136.65231208736571,6.227498847650806,39.959556249494824,26.671980822903354,0.15537932828736678,119.04156389469155,96.05635867864527
20.5224580567773,22.6894544582167,219.734941770145,23.6539352259096,0.009,0.986,11.0,22.4186342662934,4.649999236322124,172.45284492890036,43.0823670531784,146.4056380215004,146.40550478712458,146.4056650109017,35.547621776013,40.880346980790634,43.0823670531784,4.479401904992903,1.7498845368246585,23.6539352259096,40.880346980790634,37.19300503020699,0.17059733132922075,172.45284492890036,0.21288541703318636,23.112875111552142,166.9736341803424,23.441049808876414,40.880346980790634,39.64355841236207,0.03293968289999998,33.64885543891182,23.325760528585327,39.65484611506523,34.73033960842956,0.13765764842922076,172.45284492890036,133.32477874143058
20.4866866755496,52.0559261159227,310.063340308731,17.9991543637575,0.631,0.0,34.7015310459693,30.1141615589607,2.8520605502195453,163.99697218179818,42.86982011992,206.6338074639388,206.6545283730022,206.63383049008797,29.439201618248518,39.330317615920514,42.86982011992,2.257044083957318,1.4434721638094832,17.9991543637575,39.330317615920514,29.298201438001755,0.5950164662622272,163.99697218179818,11.357466403530983,0.0,209.60099990013214,6.641687960226518,39.330317615920514,29.25523173715774,0.3796878199214486,77.67410835092166,11.357466403530983,39.330317615920514,29.323329519794843,0.2153286463407785,163.99697218179818,131.92689154921047
34.5810110386789,14.2310380269448,211.182200105908,23.9998264667536,0.25,0.333,100.0,30.0,10.728429236481357,165.0435718057217,42.5005649717509,140.7889252343179,140.79060280141346,140.78895360633933,35.31291453880901,40.367183203230475,42.5005649717509,4.647209236481356,1.7530981176287517,23.9998264667536,40.367183203230475,34.53699442692051,6.08122,165.0435718057217,5.9999566166884,5.993956660071712,180.7628864453506,17.9998698500652,40.367183203230475,37.174617506969106,5.8674,66.69772731811642,11.99391327676011,38.77169889579421,30.578580599934114,0.21382,165.0435718057217,114.06515912723418
30.7,22.61,265.176333869338,23.496164007658,0.01,0.887,78.7361039778771,43.0689554137417,8.651361229842253,189.21123179810618,39.8546054031053,177.25190212451542,177.27928931879825,177.25193251370925,30.13475463440847,36.63448966027045,39.8546054031053,4.404143991908046,1.5610010388829036,23.496164007658,36.63448966027045,31.665398371872318,4.2472172379342075,189.21123179810618,0.23496164007658,20.63268650004472,197.06489427227632,23.26120236758142,36.63448966027045,34.234251069135055,3.790970783175354,64.80647760262947,20.8676481401213,34.2612768265257,28.80189396340722,0.4562464547588533,189.21123179810618,132.25841666964686
27.2751998236332,62.124991005291,200.822004346166,24.0000487948266,0.995,0.0,0.0,39.8466994121105,5.030726778779626,219.39085264288474,42.3995884773662,133.89559124124156,133.89702932568176,133.89561976522316,35.57846645733924,40.385227623728554,42.3995884773662,4.647318346822085,1.7604244171139696,24.0000487948266,40.385227623728554,34.272521975965944,0.38340843195754104,219.39085264288474,23.880048550852468,0.0,170.2773625942483,0.12000024397413311,40.385227623728554,,0.0,0.0,23.880048550852468,40.385227623728554,34.24180486215809,0.38340843195754104,219.39085264288474,170.2773625942483
