,date,Tv,Tamb,HR,qc,Tc_in,Ce_cc,Ce,Tcond,Tdc_in,Twct_in,Tc_out,Cw,mv,Tdc_out,Twct_out,wdc,wwct,qdc,qwct,Rp,Rs,Tcc_out
0,19-Feb-2025,36.2610087293889,17.67171057226,43.180898157129,23.9984930164888,28.121629485936,0.450380626397266,3.65391082585239,35.8050436469448,33.494083414161,33.1721629485936,33.4001939864208,95.3556128031037,224.076934441763,28.0478176527643,27.7784675072745,31.974352085354,22.4700017458778,12.4177198836082,12.2596740058196,0.483,0.054,28.121629485936
1,10-Feb-2025,37.774712643678,13.5318425787106,61.4372624687656,24.000376111944,27.7004497751124,0.432014027795687,3.44262983129625,37.0521739130436,34.1121939030486,34.1399300349827,34.0130934532735,108.219547226387,276.536959126376,27.4308845577211,27.5715142428787,30.6375225887057,23.7708230884558,12.0050011494253,11.7790234382809,0.5,0.0,27.7004497751124
2,12-Feb-2025,36.2413724183877,19.685473017988,23.7397782811459,23.9993153897402,28.1453697534978,0.381510940845068,4.62576182971774,35.7059960026648,21.9770819453699,33.433644237175,33.2512325116592,214.507033710859,217.364415451024,,27.9615589606927,0.0,39.7573676882078,0.23567549041972,23.6949712858095,0.99,0.0,28.1453697534978
3,19-Feb-2025,37.5750235183442,19.4735995296331,38.7115282690498,23.9982484007526,27.7387582314206,0.667380065978239,4.86110207677981,36.2845719661334,31.9711665098777,34.3668861712134,34.206161806209,239.035324741298,263.510628603335,,27.5845719661337,0.0,50.8496222953907,0.390682826841486,23.6915060677328,0.984,0.201,27.7387582314206
4,08-Jul-2025,37.3895920066611,27.2137520399667,50.1499141548709,23.9998797668609,28.1151540383014,7.10788024331264,10.1702395799068,36.9568692756037,34.3841798501249,34.4307243963364,34.4428809325562,156.759557035804,258.600484001078,30.1364696086594,24.9249791840133,100.0,66.4399994171522,13.9987132389675,9.77321958368026,0.417,0.0,28.1151540383014
5,08-Jul-2025,38.5762452107279,28.3956897828864,42.8278412515964,24.0016034482759,28.3414431673052,7.8632371640114,10.9326700056609,38.0644316730523,35.2427841634739,35.2761813537676,35.3015325670498,221.497919846743,270.261572979005,31.1532567049808,24.0045977011494,100.0,81.7096043422733,14.0006877394636,9.77001635376755,0.417,0.0,28.3414431673052
6,09-Jul-2025,42.3995884773662,27.2751998236332,62.124991005291,24.0000487948266,35.1965314520873,0.383408431957542,4.8094724699439,42.2015873015876,25.526866549089,40.2754262198705,40.276425631981,198.15304303351,200.822004346166,,35.0065255731923,0.0,39.8466994121105,0.119232195455614,23.6941924750147,0.995,0.0,35.1965314520873
7,09-Jul-2025,39.4533215755438,31.5009347442681,41.542743797766,23.9993346854791,28.7925338036448,8.16379057256836,11.8427597361994,38.9048206937096,35.7424456202232,35.7701940035271,35.7863609641385,263.309141446208,280.806774458608,30.7817166372722,27.9960023515578,100.0,86.9010590241035,5.69593189300412,18.0240221634333,0.763,0.0,28.7925338036448
8,13-Jan-2025,44.3602708803611,12.1648531763947,48.7142822960335,24.0022209287326,37.2289584005162,0.271859,3.8933801939504,43.8489841986453,42.0618510158016,21.9251854240569,41.9747500806193,0.0,214.037280746988,36.9737826507579,,30.0,0.0,23.7983129958078,0.000539735467591,0.008,0.0,37.2289584005162
9,02-Dec-2024,43.3244585138288,20.9233329223592,42.056076841053,17.9985515828058,30.4980673108965,1.94723873182236,3.26142967184417,42.8714095301568,40.0869376874378,40.1063312229258,39.9896034655118,95.0307064978341,303.464303911118,30.4785071642785,29.9736421192936,59.5066639786738,24.6752370543154,11.7788975674775,6.03689183938687,0.346,0.0,30.4980673108965
