month,day,start_hour,end_hour,value
2,9,21.5,24.0,0.6
2,10,0.0,7.0,0.6
2,10,7.0,9.5,1.0
2,10,9.5,19.0,0.0
2,10,19.0,21.5,1.0
2,10,21.5,24.0,0.6
2,11,0.0,7.0,0.6
2,11,7.0,9.5,1.0
2,11,9.5,19.0,0.0
2,11,19.0,21.5,1.0
2,11,21.5,24.0,0.6
2,12,0.0,7.0,0.6
2,12,7.0,9.5,1.0
2,12,9.5,19.0,0.0
2,12,19.0,21.5,1.0
2,12,21.5,24.0,0.6
2,13,0.0,7.0,0.6
2,13,7.0,9.5,1.0
2,13,9.5,19.0,0.0
2,13,19.0,21.5,1.0
2,13,21.5,24.0,0.6
2,14,0.0,7.0,0.6
2,14,7.0,9.5,1.0
2,14,9.5,19.0,0.0
2,14,19.0,21.5,1.0
2,14,21.5,24.0,0.6
2,15,0.0,7.0,0.6
2,15,7.0,9.5,1.0
2,15,9.5,19.0,0.0
2,15,19.0,21.5,1.0
2,15,21.5,24.0,0.6
2,16,0.0,7.0,0.6
2,16,7.0,9.5,1.0
2,16,9.5,19.0,0.0
2,16,19.0,21.5,1.0
2,16,21.5,24.0,0.6
2,17,0.0,7.0,0.6
2,17,7.0,9.5,1.0
2,17,9.5,19.0,0.0
2,17,19.0,21.5,1.0
2,17,21.5,24.0,0.6
2,18,0.0,7.0,0.6
2,18,7.0,9.5,1.0
2,18,9.5,19.0,0.0
2,18,19.0,21.5,1.0
2,18,21.5,24.0,0.6
2,19,0.0,7.0,0.6
2,19,7.0,9.5,1.0
2,19,9.5,19.0,0.0
2,19,19.0,21.5,1.0
2,19,21.5,24.0,0.6
2,20,0.0,7.0,0.6
2,20,7.0,9.5,1.0
2,20,9.5,19.0,0.0
2,20,19.0,21.5,1.0
2,20,21.5,24.0,0.6
2,21,0.0,7.0,0.6
2,21,7.0,9.5,1.0
2,21,9.5,19.0,0.0
2,21,19.0,21.5,1.0
2,21,21.5,24.0,0.6
2,22,0.0,7.0,0.6
2,22,7.0,9.5,1.0
2,22,9.5,19.0,0.0
2,22,19.0,21.5,1.0
2,22,21.5,24.0,0.6
2,23,0.0,7.0,0.6
2,23,7.0,9.5,1.0
2,23,9.5,19.0,0.0
2,23,19.0,21.5,1.0
2,23,21.5,24.0,0.6
2,24,0.0,7.0,0.6
2,24,7.0,9.5,1.0
2,24,9.5,19.0,0.0
2,24,19.0,21.5,1.0
2,24,21.5,24.0,0.6
2,25,0.0,7.0,0.6
2,25,7.0,9.5,1.0
2,25,9.5,19.0,0.0
2,25,19.0,21.5,1.0
2,25,21.5,24.0,0.6
2,26,0.0,7.0,0.6
2,26,7.0,9.5,1.0
2,26,9.5,19.0,0.0
2,26,19.0,21.5,1.0
2,26,21.5,24.0,0.6
2,27,0.0,7.0,0.6
2,27,7.0,9.5,1.0
2,27,9.5,19.0,0.0
2,27,19.0,21.5,1.0
2,27,21.5,24.0,0.6
2,28,0.0,7.0,0.6
2,28,7.0,9.5,1.0
2,28,9.5,19.0,0.0
2,28,19.0,21.5,1.0
2,28,21.5,24.0,0.6
3,1,0.0,7.0,0.6
3,1,7.0,9.5,1.0
3,1,9.5,19.0,0.0
3,1,19.0,21.5,1.0
3,1,21.5,24.0,0.6
3,2,0.0,7.0,0.6
3,2,7.0,9.5,1.0
3,2,9.5,19.0,0.0
3,2,19.0,21.5,1.0
3,2,21.5,24.0,0.6
3,3,0.0,7.0,0.6
3,3,7.0,9.5,1.0
3,3,9.5,19.0,0.0
3,3,19.0,21.5,1.0
3,3,21.5,24.0,0.6
3,4,0.0,7.0,0.6
3,4,7.0,9.5,1.0
3,4,9.5,19.0,0.0
3,4,19.0,21.5,1.0
3,4,21.5,24.0,0.6
3,5,0.0,7.0,0.6
3,5,7.0,9.5,1.0
3,5,9.5,19.0,0.0
3,5,19.0,21.5,1.0
3,5,21.5,24.0,0.6
3,6,0.0,7.0,0.6
3,6,7.0,9.5,1.0
3,6,9.5,19.0,0.0
3,6,19.0,21.5,1.0
3,6,21.5,24.0,0.6
3,7,0.0,7.0,0.6
3,7,7.0,9.5,1.0
3,7,9.5,19.0,0.0
3,7,19.0,21.5,1.0
3,7,21.5,24.0,0.6
3,8,0.0,7.0,0.6
3,8,7.0,9.5,1.0
3,8,9.5,19.0,0.0
3,8,19.0,21.5,1.0
3,8,21.5,24.0,0.6
3,9,0.0,7.0,0.6
3,9,7.0,9.5,1.0
3,9,9.5,19.0,0.0
3,9,19.0,21.5,1.0
3,9,21.5,24.0,0.6
3,10,0.0,7.0,0.6
3,10,7.0,9.5,1.0
3,10,9.5,19.0,0.0
3,10,19.0,21.5,1.0
3,10,21.5,24.0,0.6
3,11,0.0,7.0,0.6
3,11,7.0,9.5,1.0
3,11,9.5,19.0,0.0
3,11,19.0,21.5,1.0
3,11,21.5,24.0,0.6
3,12,0.0,7.0,0.6
3,12,7.0,9.5,1.0
3,12,9.5,19.0,0.0
3,12,19.0,21.5,1.0
3,12,21.5,24.0,0.6
3,13,0.0,7.0,0.6
3,13,7.0,9.5,1.0
3,13,9.5,19.0,0.0
3,13,19.0,21.5,1.0
3,13,21.5,24.0,0.6
3,14,0.0,7.0,0.6
3,14,7.0,9.5,1.0
3,14,9.5,19.0,0.0
3,14,19.0,21.5,1.0
3,14,21.5,24.0,0.6
3,15,0.0,7.0,0.6
3,15,7.0,9.5,1.0
3,15,9.5,19.0,0.0
3,15,19.0,21.5,1.0
3,15,21.5,24.0,0.6
3,16,0.0,7.0,0.6
3,16,7.0,9.5,1.0
3,16,9.5,19.0,0.0
3,16,19.0,21.5,1.0
3,16,21.5,24.0,0.6
3,17,0.0,7.0,0.6
3,17,7.0,9.5,1.0
3,17,9.5,19.0,0.0
3,17,19.0,21.5,1.0
3,17,21.5,24.0,0.6
3,18,0.0,7.0,0.6
3,18,7.0,9.5,1.0
3,18,9.5,19.0,0.0
3,18,19.0,21.5,1.0
3,18,21.5,24.0,0.6
3,19,0.0,7.0,0.6
3,19,7.0,9.5,1.0
3,19,9.5,19.0,0.0
3,19,19.0,21.5,1.0
3,19,21.5,24.0,0.6
3,20,0.0,7.0,0.6
3,20,7.0,9.5,1.0
3,20,9.5,19.0,0.0
3,20,19.0,21.5,1.0
3,20,21.5,24.0,0.6
3,21,0.0,7.0,0.6
3,21,7.0,9.5,1.0
3,21,9.5,19.0,0.0
3,21,19.0,21.5,1.0
3,21,21.5,24.0,0.6
3,22,0.0,7.0,0.6
3,22,7.0,9.5,1.0
3,22,9.5,19.0,0.0
3,22,19.0,21.5,1.0
3,22,21.5,24.0,0.6
3,23,0.0,7.0,0.6
3,23,7.0,9.5,1.0
3,23,9.5,19.0,0.0
3,23,19.0,21.5,1.0
3,23,21.5,24.0,0.6
3,24,0.0,7.0,0.6
3,24,7.0,9.5,1.0
3,24,9.5,19.0,0.0
3,24,19.0,21.5,1.0
3,24,21.5,24.0,0.6
3,25,0.0,7.0,0.6
3,25,7.0,9.5,1.0
3,25,9.5,19.0,0.0
3,25,19.0,21.5,1.0
3,25,21.5,24.0,0.6
3,26,0.0,7.0,0.6
3,26,7.0,9.5,1.0
3,26,9.5,19.0,0.0
3,26,19.0,21.5,1.0
3,26,21.5,24.0,0.6
3,27,0.0,7.0,0.6
3,27,7.0,9.5,1.0
3,27,9.5,19.0,0.0
3,27,19.0,21.5,1.0
3,27,21.5,24.0,0.6
3,28,0.0,7.0,0.6
3,28,7.0,9.5,1.0
3,28,9.5,19.0,0.0
3,28,19.0,21.5,1.0
3,28,21.5,24.0,0.6
3,29,0.0,7.0,0.6
3,29,7.0,9.5,1.0
3,29,9.5,19.0,0.0
3,29,19.0,21.5,1.0
3,29,21.5,24.0,0.6
3,30,0.0,7.0,0.6
3,30,7.0,9.5,1.0
3,30,9.5,19.0,0.0
3,30,19.0,21.5,1.0
3,30,21.5,24.0,0.6
3,31,0.0,7.0,0.6
3,31,7.0,9.5,1.0
3,31,9.5,19.0,0.0
3,31,19.0,21.5,1.0
3,31,21.5,24.0,0.6
4,1,0.0,7.0,0.6
4,1,7.0,9.5,1.0
4,1,9.5,19.0,0.0
4,1,19.0,21.5,1.0
4,1,21.5,24.0,0.6
4,2,0.0,7.0,0.6
4,2,7.0,9.5,1.0
4,2,9.5,19.0,0.0
4,2,19.0,21.5,1.0
4,2,21.5,24.0,0.6
4,3,0.0,7.0,0.6
4,3,7.0,9.5,1.0
4,3,9.5,19.0,0.0
4,3,19.0,21.5,1.0
4,3,21.5,24.0,0.6
4,4,0.0,7.0,0.6
4,4,7.0,9.5,1.0
4,4,9.5,19.0,0.0
4,4,19.0,21.5,1.0
4,4,21.5,24.0,0.6
4,5,0.0,7.0,0.6
4,5,7.0,9.5,1.0
4,5,9.5,19.0,0.0
4,5,19.0,21.5,1.0
4,5,21.5,24.0,0.6
4,6,0.0,7.0,0.6
4,6,7.0,9.5,1.0
4,6,9.5,19.0,0.0
4,6,19.0,21.5,1.0
4,6,21.5,24.0,0.6
4,7,0.0,7.0,0.6
4,7,7.0,9.5,1.0
4,7,9.5,19.0,0.0
4,7,19.0,21.5,1.0
4,7,21.5,24.0,0.6
4,8,0.0,7.0,0.6
4,8,7.0,9.5,1.0
4,8,9.5,19.0,0.0
4,8,19.0,21.5,1.0
4,8,21.5,24.0,0.6
4,9,0.0,7.0,0.6
4,9,7.0,9.5,1.0
4,9,9.5,19.0,0.0
4,9,19.0,21.5,1.0
4,9,21.5,24.0,0.6
4,10,0.0,7.0,0.6
4,10,7.0,9.5,1.0
4,10,9.5,19.0,0.0
4,10,19.0,21.5,1.0
4,10,21.5,24.0,0.6
4,11,0.0,7.0,0.6
4,11,7.0,9.5,1.0
4,11,9.5,19.0,0.0
4,11,19.0,21.5,1.0
4,11,21.5,24.0,0.6
4,12,0.0,7.0,0.6
4,12,7.0,9.5,1.0
4,12,9.5,19.0,0.0
4,12,19.0,21.5,1.0
4,12,21.5,24.0,0.6
4,13,0.0,7.0,0.6
4,13,7.0,9.5,1.0
4,13,9.5,19.0,0.0
4,13,19.0,21.5,1.0
4,13,21.5,24.0,0.6
4,14,0.0,7.0,0.6
4,14,7.0,9.5,1.0
4,14,9.5,19.0,0.0
4,14,19.0,21.5,1.0
4,14,21.5,24.0,0.6
4,15,0.0,7.0,0.6
4,15,7.0,9.5,1.0
4,15,9.5,19.0,0.0
4,15,19.0,21.5,1.0
4,15,21.5,24.0,0.6
4,16,0.0,7.0,0.6
4,16,7.0,9.5,1.0
4,16,9.5,19.0,0.0
4,16,19.0,21.5,1.0
4,16,21.5,24.0,0.6
4,17,0.0,7.0,0.6
4,17,7.0,9.5,1.0
4,17,9.5,19.0,0.0
4,17,19.0,21.5,1.0
4,17,21.5,24.0,0.6
4,18,0.0,7.0,0.6
4,18,7.0,9.5,1.0
4,18,9.5,19.0,0.0
4,18,19.0,21.5,1.0
4,18,21.5,24.0,0.6
4,19,0.0,7.0,0.6
4,19,7.0,9.5,1.0
4,19,9.5,19.0,0.0
4,19,19.0,21.5,1.0
4,19,21.5,24.0,0.6
4,20,0.0,7.0,0.6
4,20,7.0,9.5,1.0
4,20,9.5,19.0,0.0
4,20,19.0,21.5,1.0
4,20,21.5,24.0,0.6
4,21,0.0,7.0,0.6
4,21,7.0,9.5,1.0
4,21,9.5,19.0,0.0
4,21,19.0,21.5,1.0
4,21,21.5,24.0,0.6
4,22,0.0,7.0,0.6
4,22,7.0,9.5,1.0
4,22,9.5,19.0,0.0
4,22,19.0,21.5,1.0
4,22,21.5,24.0,0.6
4,23,0.0,7.0,0.6
4,23,7.0,9.5,1.0
4,23,9.5,19.0,0.0
4,23,19.0,21.5,1.0
4,23,21.5,24.0,0.6
4,24,0.0,7.0,0.6
4,24,7.0,9.5,1.0
4,24,9.5,19.0,0.0
4,24,19.0,21.5,1.0
4,24,21.5,24.0,0.6
4,25,0.0,7.0,0.6
4,25,7.0,9.5,1.0
4,25,9.5,19.0,0.0
4,25,19.0,21.5,1.0
4,25,21.5,24.0,0.6
4,26,0.0,7.0,0.6
4,26,7.0,9.5,1.0
4,26,9.5,19.0,0.0
4,26,19.0,21.5,1.0
4,26,21.5,24.0,0.6
4,27,0.0,7.0,0.6
4,27,7.0,9.5,1.0
4,27,9.5,19.0,0.0
4,27,19.0,21.5,1.0
4,27,21.5,24.0,0.6
4,28,0.0,7.0,0.6
4,28,7.0,9.5,1.0
4,28,9.5,19.0,0.0
4,28,19.0,21.5,1.0
4,28,21.5,24.0,0.6
4,29,0.0,7.0,0.6
4,29,7.0,9.5,1.0
4,29,9.5,19.0,0.0
4,29,19.0,21.5,1.0
4,29,21.5,24.0,0.6
4,30,0.0,7.0,0.6
4,30,7.0,9.5,1.0
4,30,9.5,19.0,0.0
4,30,19.0,21.5,1.0
4,30,21.5,24.0,0.6
5,1,0.0,7.0,0.6
5,1,7.0,9.5,1.0
5,1,9.5,19.0,0.0
5,1,19.0,21.5,1.0
5,1,21.5,24.0,0.6
5,2,0.0,7.0,0.6
5,2,7.0,9.5,1.0
5,2,9.5,19.0,0.0
5,2,19.0,21.5,1.0
5,2,21.5,24.0,0.6
5,3,0.0,7.0,0.6
5,3,7.0,9.5,1.0
5,3,9.5,19.0,0.0
5,3,19.0,21.5,1.0
5,3,21.5,24.0,0.6
5,4,0.0,7.0,0.6
5,4,7.0,9.5,1.0
5,4,9.5,19.0,0.0
5,4,19.0,21.5,1.0
5,4,21.5,24.0,0.6
5,5,0.0,7.0,0.6
5,5,7.0,9.5,1.0
5,5,9.5,19.0,0.0
5,5,19.0,21.5,1.0
5,5,21.5,24.0,0.6
5,6,0.0,7.0,0.6
5,6,7.0,9.5,1.0
5,6,9.5,19.0,0.0
5,6,19.0,21.5,1.0
5,6,21.5,24.0,0.6
5,7,0.0,7.0,0.6
5,7,7.0,9.5,1.0
5,7,9.5,19.0,0.0
5,7,19.0,21.5,1.0
5,7,21.5,24.0,0.6
5,8,0.0,7.0,0.6
5,8,7.0,9.5,1.0
5,8,9.5,19.0,0.0
5,8,19.0,21.5,1.0
5,8,21.5,24.0,0.6
5,9,0.0,7.0,0.6
5,9,7.0,9.5,1.0
5,9,9.5,19.0,0.0
5,9,19.0,21.5,1.0
5,9,21.5,24.0,0.6
5,10,0.0,7.0,0.6
5,10,7.0,9.5,1.0
5,10,9.5,19.0,0.0
5,10,19.0,21.5,1.0
5,10,21.5,24.0,0.6
5,11,0.0,7.0,0.6
5,11,7.0,9.5,1.0
5,11,9.5,19.0,0.0
5,11,19.0,21.5,1.0
5,11,21.5,24.0,0.6
5,12,0.0,7.0,0.6
5,12,7.0,9.5,1.0
5,12,9.5,19.0,0.0
5,12,19.0,21.5,1.0
5,12,21.5,24.0,0.6
5,13,0.0,7.0,0.6
5,13,7.0,9.5,1.0
5,13,9.5,19.0,0.0
5,13,19.0,21.5,1.0
5,13,21.5,24.0,0.6
5,14,0.0,7.0,0.6
5,14,7.0,9.5,1.0
5,14,9.5,19.0,0.0
5,14,19.0,21.5,1.0
5,14,21.5,24.0,0.6
5,15,0.0,7.0,0.6
5,15,7.0,9.5,1.0
5,15,9.5,19.0,0.0
5,15,19.0,21.5,1.0
5,15,21.5,24.0,0.6
5,16,0.0,7.0,0.6
5,16,7.0,9.5,1.0
5,16,9.5,19.0,0.0
5,16,19.0,21.5,1.0
5,16,21.5,24.0,0.6
5,17,0.0,7.0,0.6
5,17,7.0,9.5,1.0
5,17,9.5,19.0,0.0
5,17,19.0,21.5,1.0
5,17,21.5,24.0,0.6
5,18,0.0,7.0,0.6
5,18,7.0,9.5,1.0
5,18,9.5,19.0,0.0
5,18,19.0,21.5,1.0
5,18,21.5,24.0,0.6
5,19,0.0,7.0,0.6
5,19,7.0,9.5,1.0
5,19,9.5,19.0,0.0
5,19,19.0,21.5,1.0
5,19,21.5,24.0,0.6
5,20,0.0,7.0,0.6
5,20,7.0,9.5,1.0
5,20,9.5,19.0,0.0
5,20,19.0,21.5,1.0
5,20,21.5,24.0,0.6
5,21,0.0,7.0,0.6
5,21,7.0,9.5,1.0
5,21,9.5,19.0,0.0
5,21,19.0,21.5,1.0
5,21,21.5,24.0,0.6
5,22,0.0,7.0,0.6
5,22,7.0,9.5,1.0
5,22,9.5,19.0,0.0
5,22,19.0,21.5,1.0
5,22,21.5,24.0,0.6
5,23,0.0,7.0,0.6
5,23,7.0,9.5,1.0
5,23,9.5,19.0,0.0
5,23,19.0,21.5,1.0
5,23,21.5,24.0,0.6
5,24,0.0,7.0,0.6
5,24,7.0,9.5,1.0
5,24,9.5,19.0,0.0
5,24,19.0,21.5,1.0
5,24,21.5,24.0,0.6
5,25,0.0,7.0,0.6
5,25,7.0,9.5,1.0
5,25,9.5,19.0,0.0
5,25,19.0,21.5,1.0
5,25,21.5,24.0,0.6
5,26,0.0,7.0,0.6
5,26,7.0,9.5,1.0
5,26,9.5,19.0,0.0
5,26,19.0,21.5,1.0
5,26,21.5,24.0,0.6
5,27,0.0,7.0,0.6
5,27,7.0,9.5,1.0
5,27,9.5,19.0,0.0
5,27,19.0,21.5,1.0
5,27,21.5,24.0,0.6
5,28,0.0,7.0,0.6
5,28,7.0,9.5,1.0
5,28,9.5,19.0,0.0
5,28,19.0,21.5,1.0
5,28,21.5,24.0,0.6
5,29,0.0,7.0,0.6
5,29,7.0,9.5,1.0
5,29,9.5,19.0,0.0
5,29,19.0,21.5,1.0
5,29,21.5,24.0,0.6
5,30,0.0,7.0,0.6
5,30,7.0,9.5,1.0
5,30,9.5,19.0,0.0
5,30,19.0,21.5,1.0
5,30,21.5,24.0,0.6
5,31,0.0,7.0,0.6
5,31,7.0,9.5,1.0
5,31,9.5,19.0,0.0
5,31,19.0,21.5,1.0
5,31,21.5,24.0,0.6
6,1,0.0,7.0,0.6
6,1,7.0,9.5,1.0
6,1,9.5,19.0,0.0
6,1,19.0,21.5,1.0
6,1,21.5,24.0,0.6
6,2,0.0,7.0,0.6
6,2,7.0,9.5,1.0
6,2,9.5,19.0,0.0
6,2,19.0,21.5,1.0
6,2,21.5,24.0,0.6
6,3,0.0,7.0,0.6
6,3,7.0,9.5,1.0
6,3,9.5,19.0,0.0
6,3,19.0,21.5,1.0
6,3,21.5,24.0,0.6
6,4,0.0,7.0,0.6
6,4,7.0,9.5,1.0
6,4,9.5,19.0,0.0
6,4,19.0,21.5,1.0
6,4,21.5,24.0,0.6
6,5,0.0,7.0,0.6
6,5,7.0,9.5,1.0
6,5,9.5,19.0,0.0
6,5,19.0,21.5,1.0
6,5,21.5,24.0,0.6
6,6,0.0,7.0,0.6
6,6,7.0,9.5,1.0
6,6,9.5,19.0,0.0
6,6,19.0,21.5,1.0
6,6,21.5,24.0,0.6
6,7,0.0,7.0,0.6
6,7,7.0,9.5,1.0
6,7,9.5,19.0,0.0
6,7,19.0,21.5,1.0
6,7,21.5,24.0,0.6
6,8,0.0,7.0,0.6
6,8,7.0,9.5,1.0
6,8,9.5,19.0,0.0
6,8,19.0,21.5,1.0
6,8,21.5,24.0,0.6
6,9,0.0,7.0,0.6
6,9,7.0,9.5,1.0
6,9,9.5,19.0,0.0
6,9,19.0,21.5,1.0
6,9,21.5,24.0,0.6
6,10,0.0,7.0,0.6
6,10,7.0,9.5,1.0
6,10,9.5,19.0,0.0
6,10,19.0,21.5,1.0
6,10,21.5,24.0,0.6
6,11,0.0,7.0,0.6
6,11,7.0,9.5,1.0
6,11,9.5,19.0,0.0
6,11,19.0,21.5,1.0
6,11,21.5,24.0,0.6
6,12,0.0,7.0,0.6
6,12,7.0,9.5,1.0
6,12,9.5,19.0,0.0
6,12,19.0,21.5,1.0
6,12,21.5,24.0,0.6
6,13,0.0,7.0,0.6
6,13,7.0,9.5,1.0
6,13,9.5,19.0,0.0
6,13,19.0,21.5,1.0
6,13,21.5,24.0,0.6
6,14,0.0,7.0,0.6
6,14,7.0,9.5,1.0
6,14,9.5,19.0,0.0
6,14,19.0,21.5,1.0
6,14,21.5,24.0,0.6
6,15,0.0,7.0,0.6
6,15,7.0,9.5,1.0
6,15,9.5,19.0,0.0
6,15,19.0,21.5,1.0
6,15,21.5,24.0,0.6
6,16,0.0,7.0,0.6
6,16,7.0,9.5,1.0
6,16,9.5,19.0,0.0
6,16,19.0,21.5,1.0
6,16,21.5,24.0,0.6
6,17,0.0,7.0,0.6
6,17,7.0,9.5,1.0
6,17,9.5,19.0,0.0
6,17,19.0,21.5,1.0
6,17,21.5,24.0,0.6
6,18,0.0,7.0,0.6
6,18,7.0,9.5,1.0
6,18,9.5,19.0,0.0
6,18,19.0,21.5,1.0
6,18,21.5,24.0,0.6
6,19,0.0,7.0,0.6
6,19,7.0,9.5,1.0
6,19,9.5,19.0,0.0
6,19,19.0,21.5,1.0
6,19,21.5,24.0,0.6
6,20,0.0,7.0,0.6
6,20,7.0,9.5,1.0
6,20,9.5,19.0,0.0
6,20,19.0,21.5,1.0
6,20,21.5,24.0,0.6
6,21,0.0,7.0,0.6
6,21,7.0,9.5,1.0
6,21,9.5,19.0,0.0
6,21,19.0,21.5,1.0
6,21,21.5,24.0,0.6
6,22,0.0,7.0,0.6
6,22,7.0,9.5,1.0
6,22,9.5,19.0,0.0
6,22,19.0,21.5,1.0
6,22,21.5,24.0,0.6
6,23,0.0,7.0,0.6
6,23,7.0,9.5,1.0
6,23,9.5,19.0,0.0
6,23,19.0,21.5,1.0
6,23,21.5,24.0,0.6
6,24,0.0,7.0,0.6
