Tamb,HR,Q,Tv,qc,Rp,Rs,wdc,wwct,Ce,Cw,valid,reward
30,40,200,42,18.6267986297607,0.0146293044090271,0.94214129447937,26.0244274139404,47.7067872330827,3.24145182346261,215.448119918823,1,-0.424410786791173
30,40,120,42,12.8572626113892,0.0108146667480469,0.943717479705811,12.7669334411621,28.1644622556391,1.24863110808671,135.589909832001,1,-0.22658926148801
10,70,200,42,13.0659399032593,0.0111849009990692,0.951778173446655,13.6660346984863,28.5331853684211,1.30338819156637,156.093685354113,1,-0.259766501046676
10,70,120,42,6.74934101104736,0.0185232758522034,0.982740759849548,11.0607261657715,20.79,0.438004985127271,88.3880608184336,0,-2
