Tamb,HR,Q,Tv,qc,Rp,Rs,wdc,wwct,Ce,Cw,valid,reward
30,40,200,42,17.1627330780029,0.00849276781082153,0.963393867015839,25.6085071563721,50.6565721353383,2.86981030426131,217.086000616669,1,-0.289930003342031
30,40,120,42,12.5031986236572,0.0130026340484619,0.966017544269562,18.9349174499512,26.5052082481203,1.2364080314532,121.895493562341,1,-0.123363268535912
10,70,200,42,14.4632453918457,0.015941858291626,0.97393786907196,17.5739860534668,23.7397849022556,1.5834396384672,133.108865494847,1,-0.15192561082397
10,70,120,42,7.8134126663208,0.994312524795532,0.777447104454041,54.0156593322754,21.8961693383459,0.484060663542308,138.093091498136,1,-0.104615978407679
