Tout,Mlost
-15.460093227885,1485.98075049527
-8.00071206156101,1209.78235593351
-9.4474350678116,1172.83000476558
-7.56530546025974,1113.41158444582
-8.5798885044092,1311.0172343336
-7.01443706215357,1032.75026173988
-5.98068619983708,1062.95319109345
-4.87218554008408,1397.62238703533
-6.01328291751022,1125.46561443363
-5.12084961441435,1048.25234038385
-4.34080861982089,1097.35893324799
-5.82104717157032,1527.7315279405
-4.67256333376467,1302.45377309381
-4.81871964791919,1164.80248714866
-3.97229313525813,1163.20126606135
-5.39512338217439,1117.3717943617
-11.2311419776598,1620.69167708029
-9.61290990928984,1392.56731175746
-10.9697417075894,1664.14166414714
-8.04356238883938,402.218222978785
-9.08079506325306,1669.16627388613
-9.5835104614582,1746.41579796836
-6.02870674012979,1267.9761309232
-7.76735377799713,1357.61404791494
-7.83831458546435,1828.63335401929
-7.89971477696994,1843.81467464579
-7.01290265209164,1769.24004454382
-7.88291234238759,1144.03880040699
-6.89690139407803,1794.28008607532
-6.55051863773671,1925.39034522193
-15.7648029877448,1666.57870684137
-12.8577984046955,1835.71433717763
-8.77318951853295,1998.5037915954
-12.1772577766526,1941.71523712003
-7.2942679119402,1883.87094574629
-9.92536867634064,2137.16968570987
-10.2179428482427,2066.148036128
-12.6101925650149,1808.7588754786
-6.87799392142581,2204.7721221951
-8.2622468311829,2229.49684371347
-7.52756220781044,2162.49002154037
-5.27956185297533,1665.85734288398
-5.37589263639914,2073.01400103261
-6.02832156641809,2277.03558419115
-5.59438682681328,2245.65197172871
-4.32267559396008,1364.49355094701
-3.02141069634763,1104.64591510438
-3.72480840190082,1028.07610444592
-3.08941375495557,998.846750339483
-1.3705580493532,1206.4490753154
-2.55244703830245,913.666459617016
-1.96427218472243,967.095353140784
-1.43383108847994,1353.79462286391
-1.34163445819171,1035.37525963921
-1.11619378084272,963.211609393198
-0.528305593913306,1028.05077857256
-3.0936731915662,1506.74288190589
-0.955970923891751,1252.61617186128
-0.820566986875278,1098.6438400199
-0.0509021797552087,1105.76668411961
-2.12220616223888,727.298474994704
-6.56895656905592,1641.49663454475
-6.58170440172123,984.589498561726
