Tout,Mlost
15.5071005772913,23268.1229060657
17.8266213316822,14826.653866814
18.318835913891,13100.6328315977
18.5322895610203,12357.5421777295
14.9559165428279,28897.8265710935
18.4056951271949,16007.1544897008
18.6676989444421,15080.0431284499
14.4346811607453,34713.4471067774
18.4981631440338,18955.2265398922
18.8083182923304,17838.4529390142
18.981369111389,17218.9566299558
13.95757185121,40700.4703377305
17.7729579165945,25019.0302599564
18.5976144679732,21941.4960428854
18.9551256637499,20630.2044535668
19.1546189524047,19903.8871207307
13.5367301780393,46849.9476969679
17.7756899315817,28515.4241954225
18.7053848625559,24962.3714018214
19.1090717086028,23452.5493062782
19.3344350441098,22617.3613373424
17.7927544615533,32051.1551509229
18.8227519390499,28014.0615289996
19.5215489939473,25356.9176457878
18.9509164295854,31092.6212017596
19.6225837477296,32073.4718238653
12.546224978658,73437.1767768601
17.9505439744598,42830.2582910658
19.2439565571882,37314.0883353157
19.8136264084742,34987.9936117743
12.4644053873546,81027.0941358062
18.044329050921,46459.4505589666
19.4107086532061,40448.7705612784
20.0157453032759,37917.5941573063
20.3560207041897,36523.2099361539
12.4128943930471,89691.1433542257
19.5919893113618,43593.9689265585
20.2294983750682,40859.029801342
20.5889000545562,39353.0572544154
12.2423606957732,102338.661171595
18.3009473998159,53736.310159963
19.788410031962,46745.6888354971
20.8323533783857,42192.6298021905
17.2851036553346,26427.9942446157
19.6406888895166,17787.392349362
20.1333225013563,16029.5790861798
20.3461822951877,15273.7643515808
16.7010909485453,32199.3251914013
19.6177138145751,21186.7805470167
20.2266751473302,18981.1603787482
20.4893277960112,18036.6994888732
20.6356046951064,17512.2975672104
16.1332708036534,38174.2423870332
19.5968911418998,24648.7857132275
20.3222436215618,21977.9977329692
20.6348061101011,20838.5818533515
20.8087655367801,20207.0679402401
15.5977273435635,44333.8316018418
19.5808613224213,28167.6277995737
20.4214091406888,25016.6625237979
20.783587616863,23676.8051847628
20.9851043705155,22935.3866049932
15.1091318885685,50663.1193396591
19.572261595048,31736.9650030564
20.5255536202172,28093.4072741721
20.9366427655385,26548.5264855042
21.165393603627,25694.8577710774
14.6797119832845,57156.2588930775
19.5736713960003,35350.0055376996
20.6360390375715,31204.2039305788
21.09492938902,29450.6885288588
21.3503954442456,28482.9055940124
14.3183090863896,63823.8280749183
19.5875599583957,38999.6325869756
20.7541864643543,34344.7909998081
21.2593793290946,32380.0495732926
21.5408523974598,31296.7941244655
14.0294623531819,70704.5518064747
19.6162368117251,42678.5424217252
20.8812558160448,37510.7266867287
21.4308863042451,35333.2136260012
21.7374778757193,34133.6506331125
13.8121703653085,77888.4099107323
19.6618080081917,46379.3860694384
21.018427722029,40697.4431040282
21.6102938801136,38306.6658535755
21.9409471042982,36990.4919544876
13.6570269187528,85575.3822411618
19.7261390059512,50094.9107615189
21.1667863949126,43900.3061270839
21.7983846114449,41296.8092868957
22.1518890648487,39864.2511113152
13.5352261453796,94289.5603020159
19.810825621785,53818.0940836347
21.3273054653829,47114.6729824652
21.995870556837,44300.0019127839
22.3708790272635,42751.8059223697
13.2879811547042,106893.926015817
19.9171738096693,57542.2650419827
21.500836311323,50335.9487676837
22.2033849876495,47312.5946396209
22.5984319626105,45650.0083834019
19.0938658415361,29600.0048253543
21.4625510195241,20800.111941629
21.9507062015666,19018.7001355084
22.1608720532065,18253.651186797
18.4869449848501,35492.7679400752
21.4481693323652,24245.5643463262
22.0552756205386,22006.4723642169
22.3159602690008,21049.1035462367
22.4608378552362,20517.9019484663
17.8806912515284,41608.224684003
21.4311026861909,27758.8392486593
22.1586842714187,25042.8578017153
22.4705379658198,23886.2103880828
22.6436702962491,23245.6754054067
17.2925194826762,47923.9122276206
21.4139374406003,31334.1094766681
22.2622506489719,28124.447133343
22.6255162024141,26762.3951594391
22.8270528540527,26009.4134300811
16.7392740177032,54419.3320709152
21.3993423100868,34964.8195071906
22.3673337617939,31247.4367010465
22.7818333768392,29674.7932588148
23.0117231984189,28806.712072788
16.235990243044,61081.4530971184
21.3900137766986,38643.7911086476
22.4753132052105,34407.6626776238
22.9404431956385,32620.2714492425
23.1984311510765,31634.9439201018
