Tamb,Tdc_in,qdc,wdc,Tdc_out
3,28.5,1386,11,11
3,28.5,1386,28.636,28.636
3,28.5,1386,46.272,46.272
3,28.5,1386,63.908,63.908
3,28.5,1386,81.544,81.544
3,28.5,1386,99.18,99.18
3,28.5,2079,11,11
3,28.5,2079,28.636,28.636
3,28.5,2079,46.272,46.272
3,28.5,2079,63.908,63.908
3,28.5,2079,81.544,81.544
3,28.5,2079,99.18,99.18
3,28.5,2772,11,11
3,28.5,2772,28.636,28.636
3,28.5,2772,46.272,46.272
3,28.5,2772,63.908,63.908
3,28.5,2772,81.544,81.544
3,28.5,2772,99.18,99.18
3,28.5,3465,11,11
3,28.5,3465,28.636,28.636
3,28.5,3465,46.272,46.272
3,28.5,3465,63.908,63.908
3,28.5,3465,81.544,81.544
3,28.5,3465,99.18,99.18
3,28.5,4158,11,11
3,28.5,4158,28.636,28.636
3,28.5,4158,46.272,46.272
3,28.5,4158,63.908,63.908
3,28.5,4158,81.544,81.544
3,28.5,4158,99.18,99.18
3,28.5,4851,11,11
3,28.5,4851,28.636,28.636
3,28.5,4851,46.272,46.272
3,28.5,4851,63.908,63.908
3,28.5,4851,81.544,81.544
3,28.5,4851,99.18,99.18
3,28.5,5544,11,11
3,28.5,5544,28.636,28.636
3,28.5,5544,46.272,46.272
3,28.5,5544,63.908,63.908
3,28.5,5544,81.544,81.544
3,28.5,5544,99.18,99.18
3,33,1386,11,11
3,33,1386,28.636,28.636
3,33,1386,46.272,46.272
3,33,1386,63.908,63.908
3,33,1386,81.544,81.544
3,33,1386,99.18,99.18
3,33,2079,11,11
3,33,2079,28.636,28.636
3,33,2079,46.272,46.272
3,33,2079,63.908,63.908
3,33,2079,81.544,81.544
3,33,2079,99.18,99.18
3,33,2772,11,11
3,33,2772,28.636,28.636
3,33,2772,46.272,46.272
3,33,2772,63.908,63.908
3,33,2772,81.544,81.544
3,33,2772,99.18,99.18
3,33,3465,11,11
3,33,3465,28.636,28.636
3,33,3465,46.272,46.272
3,33,3465,63.908,63.908
3,33,3465,81.544,81.544
3,33,3465,99.18,99.18
3,33,4158,11,11
3,33,4158,28.636,28.636
3,33,4158,46.272,46.272
3,33,4158,63.908,63.908
3,33,4158,81.544,81.544
3,33,4158,99.18,99.18
3,33,4851,11,11
3,33,4851,28.636,28.636
3,33,4851,46.272,46.272
3,33,4851,63.908,63.908
3,33,4851,81.544,81.544
3,33,4851,99.18,99.18
3,33,5544,11,11
3,33,5544,28.636,28.636
3,33,5544,46.272,46.272
3,33,5544,63.908,63.908
3,33,5544,81.544,81.544
3,33,5544,99.18,99.18
10.3333333333333,26.8333333333333,1386,11,11
10.3333333333333,26.8333333333333,1386,28.636,28.636
10.3333333333333,26.8333333333333,1386,46.272,46.272
10.3333333333333,26.8333333333333,1386,63.908,63.908
10.3333333333333,26.8333333333333,1386,81.544,81.544
